"party","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"PDS/Linke","2010","Not Employed","East Germany","258","0.312655206797873","0.281249720806111","0.344060692789636","5"
"PDS/Linke","2010","Not Employed","West Germany","103","0.0323673541892446","0.0261634874519754","0.0385712209265138","5"
"PDS/Linke","2010","Employed","West Germany","225","0.0462953162248827","0.0408811153887798","0.0517095170609856","5"
"PDS/Linke","2010","Employed","East Germany","321","0.312843203468013","0.287423296928191","0.338263110007836","5"
"SPD","2010","Not Employed","West Germany","1057","0.375382286171037","0.358407760793678","0.392356811548395","2"
"SPD","2010","Not Employed","East Germany","218","0.269846837679491","0.239775620046748","0.299918055312234","2"
"SPD","2010","Employed","West Germany","1726","0.311855501749716","0.299919045721721","0.323791957777712","2"
"SPD","2010","Employed","East Germany","241","0.158268893014463","0.138257969357057","0.178279816671869","2"
"AfD","2011","Not Employed","East Germany","","","","","7"
"AfD","2011","Not Employed","West Germany","","","","","7"
"AfD","2011","Employed","West Germany","","","","","7"
"AfD","2011","Employed","East Germany","","","","","7"
"CDU/CSU","2011","Employed","East Germany","297","0.306418589372187","0.276366812711908","0.336470366032466","1"
"CDU/CSU","2011","Employed","West Germany","1561","0.347635176083091","0.333481784830813","0.361788567335368","1"
"CDU/CSU","2011","Not Employed","East Germany","238","0.326622389060794","0.293561794788586","0.359682983333001","1"
"CDU/CSU","2011","Not Employed","West Germany","1462","0.450190274229406","0.43267683227568","0.467703716183132","1"
"FDP","2011","Employed","West Germany","174","0.0324400511714195","0.0271746302595191","0.0377054720833199","3"
"FDP","2011","Employed","East Germany","43","0.0338259403341414","0.0220412954101055","0.0456105852581774","3"
"FDP","2011","Not Employed","East Germany","10","","","","3"
"FDP","2011","Not Employed","West Germany","99","0.027314365242958","0.0215765170839097","0.0330522134020062","3"
"NPD Combination","2011","Not Employed","East Germany","8","","","","6"
"NPD Combination","2011","Employed","West Germany","44","0.0112581099644956","0.00812245984483087","0.0143937600841603","6"
"NPD Combination","2011","Employed","East Germany","47","0.0707832827696722","0.0540651514141121","0.0875014141252322","6"
"NPD Combination","2011","Not Employed","West Germany","12","","","","6"
"Other","2011","Employed","West Germany","65","0.0221166681403129","0.0177459101550075","0.0264874261256183","8"
"Other","2011","Not Employed","East Germany","3","","","","8"
"Other","2011","Not Employed","West Germany","30","0.00657233456184991","0.00372790488789426","0.00941676423580555","8"
"Other","2011","Employed","East Germany","10","","","","8"
"PDS/Linke","2011","Not Employed","West Germany","53","0.0192372296775985","0.0144019622932676","0.0240724970619295","5"
"PDS/Linke","2011","Not Employed","East Germany","219","0.283859033591416","0.252075003516635","0.315643063666196","5"
"PDS/Linke","2011","Employed","West Germany","116","0.0296061467334526","0.0245686085702068","0.0346436848966984","5"
"PDS/Linke","2011","Employed","East Germany","210","0.263882583988164","0.235152110305212","0.292613057671116","5"
"SPD","2011","Employed","East Germany","186","0.187205599767605","0.16177751532941","0.2126336842058","2"
"SPD","2011","Not Employed","East Germany","241","0.297009581391449","0.264797537896999","0.329221624885899","2"
"SPD","2011","Not Employed","West Germany","1091","0.380554699067515","0.36346331356484","0.397646084570189","2"
"SPD","2011","Employed","West Germany","1316","0.316619473296604","0.30279484389885","0.330444102694358","2"
"AfD","2012","Not Employed","West Germany","","","","","7"
"AfD","2012","Not Employed","East Germany","","","","","7"
"AfD","2012","Employed","West Germany","","","","","7"
"AfD","2012","Employed","East Germany","","","","","7"
"CDU/CSU","2012","Employed","East Germany","291","0.311568293953238","0.280470086695735","0.342666501210742","1"
"CDU/CSU","2012","Not Employed","East Germany","243","0.346348173249646","0.312892692737029","0.379803653762263","1"
"CDU/CSU","2012","Employed","West Germany","1506","0.342810031998624","0.328499506934892","0.357120557062357","1"
"CDU/CSU","2012","Not Employed","West Germany","1470","0.473416551161881","0.455688247383942","0.49114485493982","1"
"FDP","2012","Employed","East Germany","28","","","","3"
"FDP","2012","Employed","West Germany","122","0.0259887534239129","0.0211918822536481","0.0307856245941776","3"
"FDP","2012","Not Employed","East Germany","8","","","","3"
"FDP","2012","Not Employed","West Germany","86","0.0271540811512134","0.0213830761540312","0.0329250861483956","3"
"NPD Combination","2012","Not Employed","West Germany","8","","","","6"
"NPD Combination","2012","Not Employed","East Germany","12","","","","6"
"NPD Combination","2012","Employed","West Germany","38","0.0118832745856031","0.00861622642862691","0.0151503227425793","6"
"NPD Combination","2012","Employed","East Germany","31","0.0569862753011662","0.0414204398076488","0.0725521107946837","6"
"Other","2012","Not Employed","West Germany","54","0.0187083014855461","0.0138973818049684","0.0235192211661237","8"
"Other","2012","Employed","West Germany","159","0.0436694063830224","0.0375080544871694","0.0498307582788754","8"
"Other","2012","Not Employed","East Germany","12","","","","8"
"Other","2012","Employed","East Germany","35","0.0329507983743624","0.0209644871529137","0.0449371095958112","8"
"PDS/Linke","2012","Not Employed","West Germany","55","0.0189040458894007","0.0140685058052316","0.0237395859735697","5"
"PDS/Linke","2012","Employed","West Germany","91","0.0226646373579975","0.0181773948775554","0.0271518798384397","5"
"PDS/Linke","2012","Not Employed","East Germany","205","0.266653688789418","0.235560451909865","0.297746925668971","5"
"PDS/Linke","2012","Employed","East Germany","190","0.260395425871836","0.230927826048944","0.289863025694727","5"
"SPD","2012","Not Employed","West Germany","1076","0.367460752017056","0.350342434301341","0.384579069732772","2"
"SPD","2012","Employed","East Germany","179","0.192986672680584","0.166487500544931","0.219485844816238","2"
"SPD","2012","Not Employed","East Germany","255","0.295731405325789","0.263642458294974","0.327820352356603","2"
"SPD","2012","Employed","West Germany","1358","0.32903308313731","0.314866872935508","0.343199293339113","2"
"AfD","2013","Not Employed","West Germany","","","","","7"
"AfD","2013","Not Employed","East Germany","","","","","7"
"AfD","2013","Employed","West Germany","","","","","7"
"AfD","2013","Employed","East Germany","","","","","7"
"CDU/CSU","2013","Employed","East Germany","309","0.365570027797543","0.332727603746435","0.398412451848651","1"
"CDU/CSU","2013","Not Employed","East Germany","292","0.355306056281802","0.322527921215083","0.388084191348521","1"
"CDU/CSU","2013","Employed","West Germany","1521","0.380666787544302","0.36550939633945","0.395824178749154","1"
"CDU/CSU","2013","Not Employed","West Germany","1840","0.459482561348393","0.444261522598029","0.474703600098757","1"
"FDP","2013","Employed","East Germany","30","0.0254707673071225","0.0147265071149099","0.036215027499335","3"
"FDP","2013","Employed","West Germany","127","0.0294389139058765","0.0241622174722623","0.0347156103394906","3"
"FDP","2013","Not Employed","East Germany","12","","","","3"
"FDP","2013","Not Employed","West Germany","115","0.0277972420686739","0.022776311696911","0.0328181724404368","3"
"NPD Combination","2013","Not Employed","East Germany","6","","","","6"
"NPD Combination","2013","Not Employed","West Germany","15","","","","6"
"NPD Combination","2013","Employed","West Germany","21","","","","6"
"NPD Combination","2013","Employed","East Germany","21","","","","6"
"Other","2013","Employed","West Germany","83","0.0253236237358937","0.0204192571251824","0.030227990346605","8"
"Other","2013","Not Employed","West Germany","84","0.0199435905130046","0.0156735486700241","0.0242136323559851","8"
"Other","2013","Not Employed","East Germany","5","","","","8"
"Other","2013","Employed","East Germany","15","","","","8"
"PDS/Linke","2013","Not Employed","West Germany","107","0.02172554652447","0.0172728752758428","0.0261782177730973","5"
"PDS/Linke","2013","Employed","West Germany","79","0.0185438267246068","0.014332442006784","0.0227552114424296","5"
"PDS/Linke","2013","Not Employed","East Germany","200","0.241242762964907","0.211941609959306","0.270543915970508","5"
"PDS/Linke","2013","Employed","East Germany","169","0.224144951509879","0.195706048286333","0.252583854733425","5"
"SPD","2013","Not Employed","West Germany","1469","0.364891357805902","0.350188196567097","0.379594519044708","2"
"SPD","2013","Employed","East Germany","190","0.22158917725377","0.193266338970496","0.249912015537044","2"
"SPD","2013","Employed","West Germany","1219","0.315423872939919","0.300917864157544","0.329929881722294","2"
"SPD","2013","Not Employed","East Germany","253","0.293800846719321","0.262605037340396","0.324996656098246","2"
"AfD","2014","Not Employed","West Germany","59","0.0153165049784283","0.0112589293338591","0.0193740806229974","7"
"AfD","2014","Employed","East Germany","39","0.0335893098775544","0.0236764564861709","0.0435021632689378","7"
"AfD","2014","Not Employed","East Germany","13","","","","7"
"AfD","2014","Employed","West Germany","108","0.0173618232337555","0.0141272521621283","0.0205963943053827","7"
"CDU/CSU","2014","Employed","East Germany","469","0.360241347920782","0.333828079584503","0.386654616257061","1"
"CDU/CSU","2014","Not Employed","East Germany","311","0.352455829735855","0.321034203652396","0.383877455819314","1"
"CDU/CSU","2014","Not Employed","West Germany","1630","0.477610140610041","0.461106772145822","0.494113509074259","1"
"CDU/CSU","2014","Employed","West Germany","2394","0.372100201359172","0.360130113422466","0.384070289295878","1"
"FDP","2014","Employed","East Germany","44","0.0319207588349064","0.0222489136277659","0.0415926040420469","3"
"FDP","2014","Employed","West Germany","164","0.0245617558757737","0.0207286412090748","0.0283948705424726","3"
"FDP","2014","Not Employed","East Germany","13","","","","3"
"FDP","2014","Not Employed","West Germany","91","0.0281290524778425","0.0226661894789271","0.0335919154767579","3"
"NPD Combination","2014","Not Employed","West Germany","15","","","","6"
"NPD Combination","2014","Employed","West Germany","39","0.00851564512439214","0.00624016038819286","0.0107911298605914","6"
"NPD Combination","2014","Not Employed","East Germany","12","","","","6"
"NPD Combination","2014","Employed","East Germany","36","0.032031069164738","0.0223430786146654","0.0417190597148106","6"
"Other","2014","Employed","West Germany","130","0.0199747962433617","0.0165099655509164","0.023439626935807","8"
"Other","2014","Not Employed","West Germany","57","0.0150736840211462","0.0110479040772207","0.0190994639650717","8"
"Other","2014","Not Employed","East Germany","4","","","","8"
"Other","2014","Employed","East Germany","22","","","","8"
"PDS/Linke","2014","Not Employed","West Germany","121","0.0290887075263847","0.0235361835023956","0.0346412315503738","5"
"PDS/Linke","2014","Employed","West Germany","285","0.0413545372413747","0.0364237892127315","0.0462852852700179","5"
"PDS/Linke","2014","Not Employed","East Germany","251","0.30118541972435","0.271010956095922","0.331359883352778","5"
"PDS/Linke","2014","Employed","East Germany","279","0.228336283763856","0.205241240279449","0.251431327248264","5"
"SPD","2014","Not Employed","West Germany","1221","0.352006033546308","0.336226324455744","0.367785742636873","2"
"SPD","2014","Employed","East Germany","228","0.187512738712011","0.166037354190221","0.208988123233802","2"
"SPD","2014","Employed","West Germany","1897","0.320442239147238","0.308886165958459","0.331998312336017","2"
"SPD","2014","Not Employed","East Germany","246","0.267486693726247","0.23837278886034","0.296600598592154","2"
"AfD","2015","Not Employed","West Germany","64","0.0225918464695945","0.0174472902578586","0.0277364026813304","7"
"AfD","2015","Not Employed","East Germany","28","","","","7"
"AfD","2015","Employed","East Germany","68","0.0791840642290499","0.0630423681287445","0.0953257603293553","7"
"AfD","2015","Employed","West Germany","117","0.0236536855312195","0.0195437303375277","0.0277636407249112","7"
"CDU/CSU","2015","Employed","West Germany","1997","0.381917600415659","0.368777649066464","0.395057551764855","1"
"CDU/CSU","2015","Employed","East Germany","358","0.326055203012102","0.298033044286337","0.354077361737867","1"
"CDU/CSU","2015","Not Employed","East Germany","271","0.359963673476992","0.326429131856354","0.39349821509763","1"
"CDU/CSU","2015","Not Employed","West Germany","1520","0.488282790334007","0.470977264720107","0.505588315947907","1"
"FDP","2015","Employed","West Germany","149","0.0261989054543752","0.0218791174384229","0.0305186934703275","3"
"FDP","2015","Not Employed","East Germany","9","","","","3"
"FDP","2015","Employed","East Germany","25","","","","3"
"FDP","2015","Not Employed","West Germany","95","0.0270856888527602","0.0214656241888025","0.032705753516718","3"
"NPD Combination","2015","Not Employed","West Germany","11","","","","6"
"NPD Combination","2015","Not Employed","East Germany","13","","","","6"
"NPD Combination","2015","Employed","West Germany","46","0.0107668378434146","0.00797571371001716","0.0135579619768121","6"
"NPD Combination","2015","Employed","East Germany","31","0.02992240198184","0.0197377704071681","0.0401070335565118","6"
"Other","2015","Employed","West Germany","94","0.0194714573786247","0.0157345263558354","0.023208388401414","8"
"Other","2015","Not Employed","West Germany","34","0.00858141110380997","0.0053880946638957","0.0117747275437242","8"
"Other","2015","Not Employed","East Germany","10","","","","8"
"Other","2015","Employed","East Germany","24","","","","8"
"PDS/Linke","2015","Not Employed","West Germany","101","0.0244013559315856","0.0190596909308119","0.0297430209323594","5"
"PDS/Linke","2015","Employed","West Germany","262","0.0406565010527844","0.0353153138380869","0.0459976882674819","5"
"PDS/Linke","2015","Not Employed","East Germany","217","0.277534194245334","0.246249809182692","0.308818579307976","5"
"PDS/Linke","2015","Employed","East Germany","261","0.267812014230858","0.241341024105443","0.294283004356273","5"
"SPD","2015","Employed","East Germany","181","0.149913624607354","0.128573549724228","0.17125369949048","2"
"SPD","2015","Not Employed","West Germany","1074","0.343273806685966","0.326835897518141","0.35971171585379","2"
"SPD","2015","Not Employed","East Germany","207","0.244586419590536","0.214555454531219","0.274617384649853","2"
"SPD","2015","Employed","West Germany","1527","0.298293859273688","0.285920559714824","0.310667158832551","2"
"AfD","2016","Employed","West Germany","235","0.0415200266630907","0.0359761247991027","0.0470639285270787","7"
"AfD","2016","Employed","East Germany","124","0.147174503907094","0.125128055670599","0.169220952143589","7"
"AfD","2016","Not Employed","West Germany","98","0.0400105563190315","0.0327474503338904","0.0472736623041727","7"
"AfD","2016","Not Employed","East Germany","69","0.10993141696667","0.0866085617532536","0.133254272180087","7"
"CDU/CSU","2016","Employed","East Germany","316","0.279829657664141","0.251894138826326","0.307765176501955","1"
"CDU/CSU","2016","Employed","West Germany","1815","0.363870822151441","0.350500512217352","0.37724113208553","1"
"CDU/CSU","2016","Not Employed","East Germany","230","0.368510405173029","0.332542342662422","0.404478467683637","1"
"CDU/CSU","2016","Not Employed","West Germany","1312","0.470638328164833","0.452140456980561","0.489136199349105","1"
"FDP","2016","Employed","West Germany","146","0.0298443220558135","0.0251155674817156","0.0345730766299113","3"
"FDP","2016","Not Employed","East Germany","8","","","","3"
"FDP","2016","Employed","East Germany","26","","","","3"
"FDP","2016","Not Employed","West Germany","107","0.0357000383366243","0.028823936915443","0.0425761397578056","3"
"NPD Combination","2016","Employed","West Germany","30","0.0093750811744164","0.00669691609429813","0.0120532462545347","6"
"NPD Combination","2016","Employed","East Germany","24","","","","6"
"NPD Combination","2016","Not Employed","West Germany","8","","","","6"
"NPD Combination","2016","Not Employed","East Germany","9","","","","6"
"Other","2016","Employed","West Germany","97","0.0229732510673781","0.0188097406371956","0.0271367614975606","8"
"Other","2016","Employed","East Germany","23","","","","8"
"Other","2016","Not Employed","West Germany","27","","","","8"
"Other","2016","Not Employed","East Germany","6","","","","8"
"PDS/Linke","2016","Not Employed","West Germany","88","0.0285216580588228","0.0223527854235159","0.0346905306941297","5"
"PDS/Linke","2016","Employed","East Germany","207","0.220715423982282","0.194907288081551","0.246523559883013","5"
"PDS/Linke","2016","Employed","West Germany","228","0.0417921218031843","0.0362308735842193","0.0473533700221493","5"
"PDS/Linke","2016","Not Employed","East Germany","193","0.277961213902507","0.244558524837547","0.311363902967466","5"
"SPD","2016","Employed","East Germany","152","0.160632977421954","0.137783011282857","0.18348294356105","2"
"SPD","2016","Not Employed","East Germany","148","0.195892051330192","0.166300028595851","0.225484074064532","2"
"SPD","2016","Employed","West Germany","1300","0.273154339776727","0.260771497141098","0.285537182412356","2"
"SPD","2016","Not Employed","West Germany","885","0.315455097297811","0.298233572435234","0.332676622160388","2"
"AfD","2017","Not Employed","West Germany","92","0.0345711168969242","0.0283539546034615","0.040788279190387","7"
"AfD","2017","Employed","West Germany","246","0.0501669315986785","0.0445178749249769","0.0558159882723801","7"
"AfD","2017","Employed","East Germany","115","0.121048764826167","0.101622181097711","0.140475348554623","7"
"AfD","2017","Not Employed","East Germany","66","0.110642747401495","0.0889462354686237","0.132339259334366","7"
"CDU/CSU","2017","Employed","East Germany","336","0.273525853952426","0.246977161559931","0.30007454634492","1"
"CDU/CSU","2017","Employed","West Germany","2120","0.355880693069942","0.343490476657329","0.368270909482555","1"
"CDU/CSU","2017","Not Employed","East Germany","276","0.335504284820494","0.30284659601557","0.368161973625418","1"
"CDU/CSU","2017","Not Employed","West Germany","1567","0.434223722183495","0.417356075510971","0.45109136885602","1"
"FDP","2017","Employed","West Germany","247","0.0442756189441777","0.0389521812816934","0.0495990566066621","3"
"FDP","2017","Employed","East Germany","49","0.0430809508442254","0.0309885063448902","0.0551733953435606","3"
"FDP","2017","Not Employed","East Germany","14","","","","3"
"FDP","2017","Not Employed","West Germany","132","0.0393924694187165","0.0327725157187681","0.046012423118665","3"
"NPD Combination","2017","Not Employed","West Germany","10","","","","6"
"NPD Combination","2017","Not Employed","East Germany","8","","","","6"
"NPD Combination","2017","Employed","West Germany","46","0.0070297120488812","0.00486758896086211","0.00919183513690029","6"
"NPD Combination","2017","Employed","East Germany","24","","","","6"
"Other","2017","Not Employed","West Germany","25","","","","8"
"Other","2017","Employed","West Germany","77","0.0148190543246733","0.011692170351384","0.0179459382979626","8"
"Other","2017","Employed","East Germany","10","","","","8"
"Other","2017","Not Employed","East Germany","7","","","","8"
"PDS/Linke","2017","Not Employed","West Germany","117","0.0350214600165981","0.0287653942347171","0.0412775257984791","5"
"PDS/Linke","2017","Not Employed","East Germany","189","0.235283116343506","0.205944742404599","0.264621490282413","5"
"PDS/Linke","2017","Employed","East Germany","229","0.230314217999437","0.205238639023505","0.255389796975368","5"
"PDS/Linke","2017","Employed","West Germany","294","0.0542678467168919","0.048405130243566","0.0601305631902178","5"
"SPD","2017","Employed","East Germany","206","0.184044566699785","0.160964950500587","0.207124182898983","2"
"SPD","2017","Not Employed","West Germany","1084","0.367893526451454","0.351482658640644","0.384304394262265","2"
"SPD","2017","Employed","West Germany","1712","0.311443557301226","0.299459525068835","0.323427589533618","2"
"SPD","2017","Not Employed","East Germany","209","0.252594003344053","0.22254153658785","0.282646470100256","2"
"AfD","2018","Not Employed","West Germany","123","0.0414375894872656","0.0347542026497199","0.0481209763248113","7"
"AfD","2018","Employed","West Germany","359","0.0652327293700974","0.0589038191788082","0.0715616395613865","7"
"AfD","2018","Employed","East Germany","166","0.186979090447595","0.16417537611563","0.20978280477956","7"
"AfD","2018","Not Employed","East Germany","77","0.107953203092874","0.0861754848245907","0.129730921361157","7"
"CDU/CSU","2018","Employed","East Germany","318","0.254018791308413","0.228558985937185","0.279478596679642","1"
"CDU/CSU","2018","Employed","West Germany","2001","0.337866130558325","0.325743701819992","0.349988559296658","1"
"CDU/CSU","2018","Not Employed","East Germany","271","0.328626424019381","0.295662860695997","0.361589987342765","1"
"CDU/CSU","2018","Not Employed","West Germany","1553","0.437826025082445","0.42118901365469","0.4544630365102","1"
"FDP","2018","Employed","West Germany","324","0.0555199835971637","0.0496509653424511","0.0613890018518763","3"
"FDP","2018","Employed","East Germany","55","0.0477088234694112","0.0352423836046065","0.0601752633342158","3"
"FDP","2018","Not Employed","East Germany","17","","","","3"
"FDP","2018","Not Employed","West Germany","153","0.0430700035835036","0.0362620482428756","0.0498779589241317","3"
"NPD Combination","2018","Not Employed","West Germany","2","","","","6"
"NPD Combination","2018","Not Employed","East Germany","6","","","","6"
"NPD Combination","2018","Employed","West Germany","14","","","","6"
"NPD Combination","2018","Employed","East Germany","8","","","","6"
"Other","2018","Not Employed","West Germany","33","0.0110463335222149","0.00754134816183176","0.0145513188825981","8"
"Other","2018","Not Employed","East Germany","6","","","","8"
"Other","2018","Employed","West Germany","107","0.0190640770641512","0.0155592013583976","0.0225689527699049","8"
"Other","2018","Employed","East Germany","20","","","","8"
"PDS/Linke","2018","Not Employed","West Germany","152","0.0382119292605224","0.0317831526408343","0.0446407058802105","5"
"PDS/Linke","2018","Not Employed","East Germany","198","0.267004780891549","0.235958407274136","0.298051154508961","5"
"PDS/Linke","2018","Employed","West Germany","380","0.0682163005272672","0.061754611626184","0.0746779894283504","5"
"PDS/Linke","2018","Employed","East Germany","267","0.225009099400547","0.200585675050791","0.249432523750303","5"
"SPD","2018","Employed","East Germany","150","0.140171510672383","0.11986693092007","0.160476090424695","2"
"SPD","2018","Not Employed","West Germany","979","0.325426987922945","0.309715025768482","0.341138950077409","2"
"SPD","2018","Not Employed","East Germany","163","0.210035119798279","0.18144930069103","0.238620938905528","2"
"SPD","2018","Employed","West Germany","1458","0.256818172328393","0.245621091187587","0.268015253469198","2"
"AfD","2019","Not Employed","West Germany","125","0.0440568064503958","0.0367021492730514","0.0514114636277403","7"
"AfD","2019","Not Employed","East Germany","86","0.11373957617857","0.0907552072183692","0.136723945138772","7"
"AfD","2019","Employed","West Germany","340","0.0726771971590171","0.0662323283365679","0.0791220659814663","7"
"AfD","2019","Employed","East Germany","196","0.194609731474839","0.173459699579254","0.215759763370423","7"
"CDU/CSU","2019","Employed","East Germany","395","0.231069152140821","0.208550614257598","0.253587690024043","1"
"CDU/CSU","2019","Employed","West Germany","1986","0.291386154312858","0.280105382865727","0.30266692575999","1"
"CDU/CSU","2019","Not Employed","West Germany","1204","0.412906712860192","0.39526180423932","0.430551621481064","1"
"CDU/CSU","2019","Not Employed","East Germany","214","0.30003814906484","0.266862339612003","0.333213958517677","1"
"FDP","2019","Employed","West Germany","413","0.0529044344290436","0.047347407937737","0.0584614609203502","3"
"FDP","2019","Employed","East Germany","85","0.0469810086851905","0.0356768692177515","0.0582851481526296","3"
"FDP","2019","Not Employed","East Germany","22","","","","3"
"FDP","2019","Not Employed","West Germany","169","0.0545893858394903","0.0464478896197008","0.0627308820592799","3"
"NPD Combination","2019","Not Employed","West Germany","2","","","","6"
"NPD Combination","2019","Not Employed","East Germany","5","","","","6"
"NPD Combination","2019","Employed","West Germany","11","","","","6"
"NPD Combination","2019","Employed","East Germany","12","","","","6"
"Other","2019","Not Employed","West Germany","58","0.0153657654184538","0.0109576348512015","0.0197738959857061","8"
"Other","2019","Not Employed","East Germany","13","","","","8"
"Other","2019","Employed","West Germany","161","0.0257271899617642","0.0217967968010554","0.0296575831224731","8"
"Other","2019","Employed","East Germany","29","","","","8"
"PDS/Linke","2019","Not Employed","West Germany","111","0.039900033699057","0.032885727136021","0.0469143402620929","5"
"PDS/Linke","2019","Not Employed","East Germany","192","0.260347999566307","0.228580213872785","0.29211578525983","5"
"PDS/Linke","2019","Employed","West Germany","358","0.0657506000162345","0.0595976866307525","0.0719035134017165","5"
"PDS/Linke","2019","Employed","East Germany","253","0.22299958688738","0.200761971469244","0.245237202305516","5"
"SPD","2019","Not Employed","West Germany","777","0.276939560255852","0.260902687470532","0.292976433041171","2"
"SPD","2019","Employed","East Germany","138","0.106925786311503","0.0904171742405006","0.123434398382506","2"
"SPD","2019","Not Employed","East Germany","127","0.185458935655536","0.157322020752755","0.213595850558317","2"
"SPD","2019","Employed","West Germany","1080","0.194848685522851","0.185015663295396","0.204681707750306","2"
