"party","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"FDP","2002","(2a) intermediate vocational","West Germany","78","0.0362861802733603","0.027579333480763","0.0449930270659577"
"FDP","2002","(2a) intermediate vocational","East Germany","24","","",""
"FDP","2002","(2c_gen) general maturity certificate","West Germany","28","","",""
"FDP","2002","(2c_gen) general maturity certificate","East Germany","8","","",""
"FDP","2002","(2c_voc) vocational maturity certificate","West Germany","52","0.0474014903260143","0.0322138565000592","0.0625891241519694"
"FDP","2002","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"FDP","2002","(3a) lower tertiary education","West Germany","47","0.0777378709563957","0.0580008367863327","0.0974749051264586"
"FDP","2002","(3a) lower tertiary education","East Germany","12","","",""
"FDP","2002","(3b) higher tertiary education","West Germany","138","0.0897314876160128","0.0748561384195136","0.104606836812512"
"FDP","2002","(3b) higher tertiary education","East Germany","19","","",""
"Grüne","2002","(0) in school","West Germany","22","","",""
"Grüne","2002","(0) in school","East Germany","6","","",""
"Grüne","2002","(1a) inadequately completed","West Germany","4","","",""
"Grüne","2002","(1a) inadequately completed","East Germany","","","",""
"Grüne","2002","(1b) general elementary school","West Germany","8","","",""
"Grüne","2002","(1b) general elementary school","East Germany","1","","",""
"Grüne","2002","(1c) basic vocational qualification","West Germany","56","0.0227659667816531","0.0169550539727722","0.0285768795905339"
"Grüne","2002","(1c) basic vocational qualification","East Germany","4","","",""
"Grüne","2002","(2b) intermediate general qualification","West Germany","15","","",""
"Grüne","2002","(2b) intermediate general qualification","East Germany","1","","",""
"Grüne","2002","(2a) intermediate vocational","West Germany","115","0.0651114966372942","0.0536240110146911","0.0765989822598972"
"Grüne","2002","(2a) intermediate vocational","East Germany","13","","",""
"Grüne","2002","(2c_gen) general maturity certificate","West Germany","50","0.167576870567409","0.127280101316395","0.207873639818424"
"Grüne","2002","(2c_gen) general maturity certificate","East Germany","6","","",""
"Grüne","2002","(2c_voc) vocational maturity certificate","West Germany","96","0.122535211770898","0.0990991587207297","0.145971264821066"
"Grüne","2002","(2c_voc) vocational maturity certificate","East Germany","5","","",""
"Grüne","2002","(3a) lower tertiary education","West Germany","91","0.10843391402237","0.0855148054821579","0.131353022562583"
"Grüne","2002","(3a) lower tertiary education","East Germany","13","","",""
"Grüne","2002","(3b) higher tertiary education","West Germany","255","0.202536902093799","0.18161903714208","0.223454767045517"
"Grüne","2002","(3b) higher tertiary education","East Germany","34","0.0920726315912778","0.0617822391034031","0.122363024079153"
"PDS/Linke","2002","(0) in school","West Germany","8","","",""
"PDS/Linke","2002","(0) in school","East Germany","10","","",""
"PDS/Linke","2002","(1a) inadequately completed","West Germany","1","","",""
"PDS/Linke","2002","(1a) inadequately completed","East Germany","2","","",""
"PDS/Linke","2002","(1b) general elementary school","West Germany","4","","",""
"PDS/Linke","2002","(1b) general elementary school","East Germany","9","","",""
"PDS/Linke","2002","(1c) basic vocational qualification","West Germany","12","","",""
"PDS/Linke","2002","(1c) basic vocational qualification","East Germany","98","0.234962969310371","0.195257349913155","0.274668588707587"
"PDS/Linke","2002","(2b) intermediate general qualification","West Germany","3","","",""
"PDS/Linke","2002","(2b) intermediate general qualification","East Germany","10","","",""
"PDS/Linke","2002","(2a) intermediate vocational","West Germany","13","","",""
"PDS/Linke","2002","(2a) intermediate vocational","East Germany","109","0.20886637341221","0.175047371627724","0.242685375196697"
"PDS/Linke","2002","(2c_gen) general maturity certificate","West Germany","9","","",""
"PDS/Linke","2002","(2c_gen) general maturity certificate","East Germany","20","","",""
"PDS/Linke","2002","(2c_voc) vocational maturity certificate","West Germany","11","","",""
"PDS/Linke","2002","(2c_voc) vocational maturity certificate","East Germany","14","","",""
"PDS/Linke","2002","(3a) lower tertiary education","West Germany","7","","",""
"PDS/Linke","2002","(3a) lower tertiary education","East Germany","101","0.370783359610471","0.317695557142419","0.423871162078523"
"PDS/Linke","2002","(3b) higher tertiary education","West Germany","16","","",""
"PDS/Linke","2002","(3b) higher tertiary education","East Germany","114","0.372282901861403","0.321638366239994","0.422927437482812"
"NPD Combination","2002","(0) in school","West Germany","1","","",""
"NPD Combination","2002","(0) in school","East Germany","","","",""
"NPD Combination","2002","(1a) inadequately completed","West Germany","","","",""
"NPD Combination","2002","(1a) inadequately completed","East Germany","","","",""
"NPD Combination","2002","(1b) general elementary school","West Germany","7","","",""
"NPD Combination","2002","(1b) general elementary school","East Germany","1","","",""
"NPD Combination","2002","(1c) basic vocational qualification","West Germany","10","","",""
"NPD Combination","2002","(1c) basic vocational qualification","East Germany","2","","",""
"NPD Combination","2002","(2b) intermediate general qualification","West Germany","3","","",""
"NPD Combination","2002","(2b) intermediate general qualification","East Germany","2","","",""
"NPD Combination","2002","(2a) intermediate vocational","West Germany","15","","",""
"NPD Combination","2002","(2a) intermediate vocational","East Germany","21","","",""
"NPD Combination","2002","(2c_gen) general maturity certificate","West Germany","2","","",""
"NPD Combination","2002","(2c_gen) general maturity certificate","East Germany","","","",""
"NPD Combination","2002","(2c_voc) vocational maturity certificate","West Germany","7","","",""
"NPD Combination","2002","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"NPD Combination","2002","(3a) lower tertiary education","West Germany","3","","",""
"NPD Combination","2002","(3a) lower tertiary education","East Germany","1","","",""
"NPD Combination","2002","(3b) higher tertiary education","West Germany","1","","",""
"NPD Combination","2002","(3b) higher tertiary education","East Germany","","","",""
"AfD","2002","(0) in school","West Germany","","","",""
"AfD","2002","(0) in school","East Germany","","","",""
"AfD","2002","(1a) inadequately completed","West Germany","","","",""
"AfD","2002","(1a) inadequately completed","East Germany","","","",""
"AfD","2002","(1b) general elementary school","West Germany","","","",""
"AfD","2002","(1b) general elementary school","East Germany","","","",""
"AfD","2002","(1c) basic vocational qualification","West Germany","","","",""
"AfD","2002","(1c) basic vocational qualification","East Germany","","","",""
"AfD","2002","(2b) intermediate general qualification","West Germany","","","",""
"AfD","2002","(2b) intermediate general qualification","East Germany","","","",""
"AfD","2002","(2a) intermediate vocational","West Germany","","","",""
"AfD","2002","(2a) intermediate vocational","East Germany","","","",""
"AfD","2002","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","2002","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","2002","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","2002","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","2002","(3a) lower tertiary education","West Germany","","","",""
"AfD","2002","(3a) lower tertiary education","East Germany","","","",""
"AfD","2002","(3b) higher tertiary education","West Germany","","","",""
"AfD","2002","(3b) higher tertiary education","East Germany","","","",""
"Other","2002","(0) in school","West Germany","5","","",""
"Other","2002","(0) in school","East Germany","1","","",""
"Other","2002","(1a) inadequately completed","West Germany","","","",""
"Other","2002","(1a) inadequately completed","East Germany","","","",""
"Other","2002","(1b) general elementary school","West Germany","4","","",""
"Other","2002","(1b) general elementary school","East Germany","2","","",""
"Other","2002","(1c) basic vocational qualification","West Germany","30","0.0139157002489789","0.00935205819900852","0.0184793422989492"
"Other","2002","(1c) basic vocational qualification","East Germany","4","","",""
"Other","2002","(2b) intermediate general qualification","West Germany","2","","",""
"Other","2002","(2b) intermediate general qualification","East Germany","3","","",""
"Other","2002","(2a) intermediate vocational","West Germany","20","","",""
"Other","2002","(2a) intermediate vocational","East Germany","10","","",""
"Other","2002","(2c_gen) general maturity certificate","West Germany","2","","",""
"Other","2002","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","2002","(2c_voc) vocational maturity certificate","West Germany","4","","",""
"Other","2002","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"Other","2002","(3a) lower tertiary education","West Germany","6","","",""
"Other","2002","(3a) lower tertiary education","East Germany","","","",""
"Other","2002","(3b) higher tertiary education","West Germany","6","","",""
"Other","2002","(3b) higher tertiary education","East Germany","2","","",""
"CDU/CSU","2003","(0) in school","West Germany","67","0.465227274733682","0.389803084066538","0.540651465400826"
"CDU/CSU","2003","(0) in school","East Germany","10","","",""
"CDU/CSU","2003","(1a) inadequately completed","West Germany","20","","",""
"CDU/CSU","2003","(1a) inadequately completed","East Germany","2","","",""
"CDU/CSU","2003","(1b) general elementary school","West Germany","294","0.414319068074029","0.377019080022346","0.451619056125712"
"CDU/CSU","2003","(1b) general elementary school","East Germany","20","","",""
"CDU/CSU","2003","(1c) basic vocational qualification","West Germany","1207","0.472366211161468","0.452761206984554","0.491971215338383"
"CDU/CSU","2003","(1c) basic vocational qualification","East Germany","174","0.370459694501275","0.32559028667333","0.415329102329221"
"CDU/CSU","2003","(2b) intermediate general qualification","West Germany","83","0.479029756392655","0.406651144263066","0.551408368522244"
"CDU/CSU","2003","(2b) intermediate general qualification","East Germany","11","","",""
"CDU/CSU","2003","(2a) intermediate vocational","West Germany","908","0.489812687743081","0.466902899204978","0.512722476281185"
"CDU/CSU","2003","(2a) intermediate vocational","East Germany","254","0.432400834377892","0.391295789434285","0.473505879321498"
"CDU/CSU","2003","(2c_gen) general maturity certificate","West Germany","116","0.291050628149211","0.245013929590438","0.337087326707985"
"CDU/CSU","2003","(2c_gen) general maturity certificate","East Germany","23","","",""
"CDU/CSU","2003","(2c_voc) vocational maturity certificate","West Germany","309","0.410453418414993","0.3752245913725","0.445682245457486"
"CDU/CSU","2003","(2c_voc) vocational maturity certificate","East Germany","36","0.489463260732175","0.377076580063357","0.601849941400993"
"CDU/CSU","2003","(3a) lower tertiary education","West Germany","294","0.408420208169456","0.371954835528485","0.444885580810426"
"CDU/CSU","2003","(3a) lower tertiary education","East Germany","126","0.327918566720831","0.27734448026862","0.378492653173043"
"CDU/CSU","2003","(3b) higher tertiary education","West Germany","575","0.393742460911333","0.3681221385542","0.419362783268466"
"CDU/CSU","2003","(3b) higher tertiary education","East Germany","91","0.202616941961648","0.161153450414564","0.244080433508731"
"SPD","2003","(0) in school","West Germany","46","0.261245092483216","0.194814563599708","0.327675621366724"
"SPD","2003","(0) in school","East Germany","5","","",""
"SPD","2003","(1a) inadequately completed","West Germany","27","","",""
"SPD","2003","(1a) inadequately completed","East Germany","1","","",""
"SPD","2003","(1b) general elementary school","West Germany","337","0.520826127871028","0.482998976632508","0.558653279109548"
"SPD","2003","(1b) general elementary school","East Germany","21","","",""
"SPD","2003","(1c) basic vocational qualification","West Germany","1106","0.4535217419776","0.433971743528273","0.473071740426926"
"SPD","2003","(1c) basic vocational qualification","East Germany","183","0.429135844338702","0.383149184286889","0.475122504390515"
"SPD","2003","(2b) intermediate general qualification","West Germany","52","0.283619292858783","0.218311896216883","0.348926689500683"
"SPD","2003","(2b) intermediate general qualification","East Germany","11","","",""
"SPD","2003","(2a) intermediate vocational","West Germany","669","0.366645951749193","0.344561431935931","0.388730471562455"
"SPD","2003","(2a) intermediate vocational","East Germany","161","0.296446187240336","0.258553745938363","0.334338628542309"
"SPD","2003","(2c_gen) general maturity certificate","West Germany","141","0.326739683663062","0.279205642224208","0.374273725101916"
"SPD","2003","(2c_gen) general maturity certificate","East Germany","14","","",""
"SPD","2003","(2c_voc) vocational maturity certificate","West Germany","265","0.337815543483758","0.303943882999699","0.371687203967817"
"SPD","2003","(2c_voc) vocational maturity certificate","East Germany","18","","",""
"SPD","2003","(3a) lower tertiary education","West Germany","222","0.334866973080894","0.299855466886899","0.369878479274889"
"SPD","2003","(3a) lower tertiary education","East Germany","104","0.335151133078082","0.284298211764419","0.386004054391745"
"SPD","2003","(3b) higher tertiary education","West Germany","397","0.288049221880451","0.264302250673635","0.311796193087266"
"SPD","2003","(3b) higher tertiary education","East Germany","109","0.27035407924659","0.224538093723392","0.316170064769787"
"FDP","2003","(0) in school","West Germany","5","","",""
"FDP","2003","(0) in school","East Germany","5","","",""
"FDP","2003","(1a) inadequately completed","West Germany","1","","",""
"FDP","2003","(1a) inadequately completed","East Germany","","","",""
"FDP","2003","(1b) general elementary school","West Germany","10","","",""
"FDP","2003","(1b) general elementary school","East Germany","1","","",""
"FDP","2003","(1c) basic vocational qualification","West Germany","57","0.0251546862544029","0.0190052042655589","0.031304168243247"
"FDP","2003","(1c) basic vocational qualification","East Germany","5","","",""
"FDP","2003","(2b) intermediate general qualification","West Germany","13","","",""
"FDP","2003","(2b) intermediate general qualification","East Germany","3","","",""
"FDP","2003","(2a) intermediate vocational","West Germany","65","0.0367183434739604","0.0280992930113727","0.0453373939365481"
"FDP","2003","(2a) intermediate vocational","East Germany","24","","",""
"FDP","2003","(2c_gen) general maturity certificate","West Germany","25","","",""
"FDP","2003","(2c_gen) general maturity certificate","East Germany","8","","",""
"FDP","2003","(2c_voc) vocational maturity certificate","West Germany","40","0.0465360109238724","0.0314507124979797","0.0616213093497651"
"FDP","2003","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"FDP","2003","(3a) lower tertiary education","West Germany","44","0.0632862887740405","0.045223756643362","0.0813488209047189"
"FDP","2003","(3a) lower tertiary education","East Germany","10","","",""
"FDP","2003","(3b) higher tertiary education","West Germany","119","0.0781444964869568","0.0640700762883178","0.0922189166855957"
"FDP","2003","(3b) higher tertiary education","East Germany","16","","",""
"Grüne","2003","(0) in school","West Germany","44","0.156252900564161","0.101347679990972","0.21115812113735"
"Grüne","2003","(0) in school","East Germany","3","","",""
"Grüne","2003","(1a) inadequately completed","West Germany","6","","",""
"Grüne","2003","(1a) inadequately completed","East Germany","","","",""
"Grüne","2003","(1b) general elementary school","West Germany","19","","",""
"Grüne","2003","(1b) general elementary school","East Germany","1","","",""
"Grüne","2003","(1c) basic vocational qualification","West Germany","77","0.0316868482598124","0.0248081119008466","0.0385655846187782"
"Grüne","2003","(1c) basic vocational qualification","East Germany","8","","",""
"Grüne","2003","(2b) intermediate general qualification","West Germany","25","","",""
"Grüne","2003","(2b) intermediate general qualification","East Germany","4","","",""
"Grüne","2003","(2a) intermediate vocational","West Germany","155","0.0884414577144036","0.0754289360085417","0.101453979420265"
"Grüne","2003","(2a) intermediate vocational","East Germany","22","","",""
"Grüne","2003","(2c_gen) general maturity certificate","West Germany","82","0.288425550772013","0.242512164160308","0.334338937383718"
"Grüne","2003","(2c_gen) general maturity certificate","East Germany","20","","",""
"Grüne","2003","(2c_voc) vocational maturity certificate","West Germany","121","0.17873295930623","0.151295006662578","0.206170911949882"
"Grüne","2003","(2c_voc) vocational maturity certificate","East Germany","8","","",""
"Grüne","2003","(3a) lower tertiary education","West Germany","130","0.183788815086678","0.155055800752125","0.21252182942123"
"Grüne","2003","(3a) lower tertiary education","East Germany","18","","",""
"Grüne","2003","(3b) higher tertiary education","West Germany","286","0.226847723172449","0.204886849187934","0.248808597156963"
"Grüne","2003","(3b) higher tertiary education","East Germany","48","0.13212073509758","0.0971898462342843","0.167051623960875"
"PDS/Linke","2003","(0) in school","West Germany","","","",""
"PDS/Linke","2003","(0) in school","East Germany","9","","",""
"PDS/Linke","2003","(1a) inadequately completed","West Germany","","","",""
"PDS/Linke","2003","(1a) inadequately completed","East Germany","2","","",""
"PDS/Linke","2003","(1b) general elementary school","West Germany","","","",""
"PDS/Linke","2003","(1b) general elementary school","East Germany","10","","",""
"PDS/Linke","2003","(1c) basic vocational qualification","West Germany","7","","",""
"PDS/Linke","2003","(1c) basic vocational qualification","East Germany","66","0.15288249551762","0.119446150719708","0.186318840315531"
"PDS/Linke","2003","(2b) intermediate general qualification","West Germany","4","","",""
"PDS/Linke","2003","(2b) intermediate general qualification","East Germany","7","","",""
"PDS/Linke","2003","(2a) intermediate vocational","West Germany","12","","",""
"PDS/Linke","2003","(2a) intermediate vocational","East Germany","70","0.13907785679114","0.110367279477696","0.167788434104585"
"PDS/Linke","2003","(2c_gen) general maturity certificate","West Germany","7","","",""
"PDS/Linke","2003","(2c_gen) general maturity certificate","East Germany","14","","",""
"PDS/Linke","2003","(2c_voc) vocational maturity certificate","West Germany","4","","",""
"PDS/Linke","2003","(2c_voc) vocational maturity certificate","East Germany","12","","",""
"PDS/Linke","2003","(3a) lower tertiary education","West Germany","2","","",""
"PDS/Linke","2003","(3a) lower tertiary education","East Germany","71","0.237632440153114","0.191779291638149","0.283485588668079"
"PDS/Linke","2003","(3b) higher tertiary education","West Germany","13","","",""
"PDS/Linke","2003","(3b) higher tertiary education","East Germany","96","0.34073914067652","0.291847552149061","0.389630729203978"
"NPD Combination","2003","(0) in school","West Germany","1","","",""
"NPD Combination","2003","(0) in school","East Germany","1","","",""
"NPD Combination","2003","(1a) inadequately completed","West Germany","1","","",""
"NPD Combination","2003","(1a) inadequately completed","East Germany","1","","",""
"NPD Combination","2003","(1b) general elementary school","West Germany","5","","",""
"NPD Combination","2003","(1b) general elementary school","East Germany","","","",""
"NPD Combination","2003","(1c) basic vocational qualification","West Germany","11","","",""
"NPD Combination","2003","(1c) basic vocational qualification","East Germany","4","","",""
"NPD Combination","2003","(2b) intermediate general qualification","West Germany","5","","",""
"NPD Combination","2003","(2b) intermediate general qualification","East Germany","1","","",""
"NPD Combination","2003","(2a) intermediate vocational","West Germany","9","","",""
"NPD Combination","2003","(2a) intermediate vocational","East Germany","18","","",""
"NPD Combination","2003","(2c_gen) general maturity certificate","West Germany","1","","",""
"NPD Combination","2003","(2c_gen) general maturity certificate","East Germany","","","",""
"NPD Combination","2003","(2c_voc) vocational maturity certificate","West Germany","3","","",""
"NPD Combination","2003","(2c_voc) vocational maturity certificate","East Germany","1","","",""
"NPD Combination","2003","(3a) lower tertiary education","West Germany","2","","",""
"NPD Combination","2003","(3a) lower tertiary education","East Germany","2","","",""
"NPD Combination","2003","(3b) higher tertiary education","West Germany","","","",""
"NPD Combination","2003","(3b) higher tertiary education","East Germany","1","","",""
"AfD","2003","(0) in school","West Germany","","","",""
"AfD","2003","(0) in school","East Germany","","","",""
"AfD","2003","(1a) inadequately completed","West Germany","","","",""
"AfD","2003","(1a) inadequately completed","East Germany","","","",""
"AfD","2003","(1b) general elementary school","West Germany","","","",""
"AfD","2003","(1b) general elementary school","East Germany","","","",""
"AfD","2003","(1c) basic vocational qualification","West Germany","","","",""
"AfD","2003","(1c) basic vocational qualification","East Germany","","","",""
"AfD","2003","(2b) intermediate general qualification","West Germany","","","",""
"AfD","2003","(2b) intermediate general qualification","East Germany","","","",""
"AfD","2003","(2a) intermediate vocational","West Germany","","","",""
"AfD","2003","(2a) intermediate vocational","East Germany","","","",""
"AfD","2003","(2c_gen) general maturity certificate","West Germany","","","",""
"AfD","2003","(2c_gen) general maturity certificate","East Germany","","","",""
"AfD","2003","(2c_voc) vocational maturity certificate","West Germany","","","",""
"AfD","2003","(2c_voc) vocational maturity certificate","East Germany","","","",""
"AfD","2003","(3a) lower tertiary education","West Germany","","","",""
"AfD","2003","(3a) lower tertiary education","East Germany","","","",""
"AfD","2003","(3b) higher tertiary education","West Germany","","","",""
"AfD","2003","(3b) higher tertiary education","East Germany","","","",""
"Other","2003","(0) in school","West Germany","5","","",""
"Other","2003","(0) in school","East Germany","1","","",""
"Other","2003","(1a) inadequately completed","West Germany","1","","",""
"Other","2003","(1a) inadequately completed","East Germany","","","",""
"Other","2003","(1b) general elementary school","West Germany","5","","",""
"Other","2003","(1b) general elementary school","East Germany","5","","",""
"Other","2003","(1c) basic vocational qualification","West Germany","26","","",""
"Other","2003","(1c) basic vocational qualification","East Germany","5","","",""
"Other","2003","(2b) intermediate general qualification","West Germany","1","","",""
"Other","2003","(2b) intermediate general qualification","East Germany","2","","",""
"Other","2003","(2a) intermediate vocational","West Germany","11","","",""
"Other","2003","(2a) intermediate vocational","East Germany","9","","",""
"Other","2003","(2c_gen) general maturity certificate","West Germany","2","","",""
"Other","2003","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","2003","(2c_voc) vocational maturity certificate","West Germany","7","","",""
"Other","2003","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","2003","(3a) lower tertiary education","West Germany","4","","",""
"Other","2003","(3a) lower tertiary education","East Germany","","","",""
"Other","2003","(3b) higher tertiary education","West Germany","7","","",""
"Other","2003","(3b) higher tertiary education","East Germany","","","",""
"CDU/CSU","2004","(0) in school","West Germany","50","0.453936149692725","0.367685533886869","0.540186765498581"
"CDU/CSU","2004","(0) in school","East Germany","7","","",""
"CDU/CSU","2004","(1a) inadequately completed","West Germany","21","","",""
"CDU/CSU","2004","(1a) inadequately completed","East Germany","1","","",""
"CDU/CSU","2004","(1b) general elementary school","West Germany","248","0.458312190892633","0.415932667713796","0.500691714071471"
"CDU/CSU","2004","(1b) general elementary school","East Germany","13","","",""
"CDU/CSU","2004","(1c) basic vocational qualification","West Germany","1023","0.473642136536674","0.452122320854714","0.495161952218634"
"CDU/CSU","2004","(1c) basic vocational qualification","East Germany","139","0.400268758000817","0.348266154748438","0.452271361253195"
"CDU/CSU","2004","(2b) intermediate general qualification","West Germany","57","0.496095800239061","0.409815827324214","0.582375773153908"
"CDU/CSU","2004","(2b) intermediate general qualification","East Germany","7","","",""
"CDU/CSU","2004","(2a) intermediate vocational","West Germany","805","0.528025241282003","0.503132623108674","0.552917859455332"
"CDU/CSU","2004","(2a) intermediate vocational","East Germany","183","0.38273199211799","0.338022016617509","0.427441967618472"
"CDU/CSU","2004","(2c_gen) general maturity certificate","West Germany","106","0.325678528011693","0.273927274724926","0.377429781298459"
"CDU/CSU","2004","(2c_gen) general maturity certificate","East Germany","22","","",""
"CDU/CSU","2004","(2c_voc) vocational maturity certificate","West Germany","268","0.402406376460357","0.364880436821159","0.439932316099556"
"CDU/CSU","2004","(2c_voc) vocational maturity certificate","East Germany","35","0.471916819772863","0.361130869943527","0.582702769602199"
"CDU/CSU","2004","(3a) lower tertiary education","West Germany","283","0.458813321596087","0.420237904137098","0.497388739055076"
"CDU/CSU","2004","(3a) lower tertiary education","East Germany","103","0.351340938520832","0.295020481122444","0.40766139591922"
"CDU/CSU","2004","(3b) higher tertiary education","West Germany","538","0.409477495815259","0.382443604624533","0.436511387005985"
"CDU/CSU","2004","(3b) higher tertiary education","East Germany","86","0.228130827811528","0.182225889197381","0.274035766425675"
"SPD","2004","(0) in school","West Germany","35","0.252672659908995","0.177392996662719","0.32795232315527"
"SPD","2004","(0) in school","East Germany","10","","",""
"SPD","2004","(1a) inadequately completed","West Germany","25","","",""
"SPD","2004","(1a) inadequately completed","East Germany","1","","",""
"SPD","2004","(1b) general elementary school","West Germany","253","0.477502877824992","0.435018351693434","0.51998740395655"
"SPD","2004","(1b) general elementary school","East Germany","11","","",""
"SPD","2004","(1c) basic vocational qualification","West Germany","882","0.441177789068586","0.419777656022694","0.462577922114477"
"SPD","2004","(1c) basic vocational qualification","East Germany","118","0.362600594093844","0.311574657580711","0.413626530606976"
"SPD","2004","(2b) intermediate general qualification","West Germany","43","0.303889641495618","0.224520765047517","0.38325851794372"
"SPD","2004","(2b) intermediate general qualification","East Germany","7","","",""
"SPD","2004","(2a) intermediate vocational","West Germany","521","0.334281230847767","0.310758635033599","0.357803826661936"
"SPD","2004","(2a) intermediate vocational","East Germany","123","0.262034725394816","0.221584816095875","0.302484634693757"
"SPD","2004","(2c_gen) general maturity certificate","West Germany","109","0.304822780257183","0.253987609088085","0.355657951426281"
"SPD","2004","(2c_gen) general maturity certificate","East Germany","12","","",""
"SPD","2004","(2c_voc) vocational maturity certificate","West Germany","233","0.354872976438753","0.318258295583504","0.391487657294002"
"SPD","2004","(2c_voc) vocational maturity certificate","East Germany","18","","",""
"SPD","2004","(3a) lower tertiary education","West Germany","207","0.322774745399565","0.286580842041116","0.358968648758013"
"SPD","2004","(3a) lower tertiary education","East Germany","63","0.231208880940708","0.181469544777722","0.280948217103695"
"SPD","2004","(3b) higher tertiary education","West Germany","323","0.24115083288801","0.217632992976237","0.264668672799784"
"SPD","2004","(3b) higher tertiary education","East Germany","80","0.239867463707253","0.193155738495116","0.286579188919389"
"FDP","2004","(0) in school","West Germany","3","","",""
"FDP","2004","(0) in school","East Germany","3","","",""
"FDP","2004","(1a) inadequately completed","West Germany","2","","",""
"FDP","2004","(1a) inadequately completed","East Germany","","","",""
"FDP","2004","(1b) general elementary school","West Germany","7","","",""
"FDP","2004","(1b) general elementary school","East Germany","3","","",""
"FDP","2004","(1c) basic vocational qualification","West Germany","55","0.0302632675719226","0.0228798461735969","0.0376466889702482"
"FDP","2004","(1c) basic vocational qualification","East Germany","3","","",""
"FDP","2004","(2b) intermediate general qualification","West Germany","8","","",""
"FDP","2004","(2b) intermediate general qualification","East Germany","2","","",""
"FDP","2004","(2a) intermediate vocational","West Germany","47","0.0276381664364619","0.0194638317558756","0.0358125011170481"
"FDP","2004","(2a) intermediate vocational","East Germany","22","","",""
"FDP","2004","(2c_gen) general maturity certificate","West Germany","21","","",""
"FDP","2004","(2c_gen) general maturity certificate","East Germany","10","","",""
"FDP","2004","(2c_voc) vocational maturity certificate","West Germany","37","0.0415558233281562","0.0262838369342868","0.0568278097220255"
"FDP","2004","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"FDP","2004","(3a) lower tertiary education","West Germany","42","0.0801707655557757","0.0591484429791261","0.101193088132425"
"FDP","2004","(3a) lower tertiary education","East Germany","10","","",""
"FDP","2004","(3b) higher tertiary education","West Germany","104","0.0716833517083645","0.0575015131550542","0.0858651902616748"
"FDP","2004","(3b) higher tertiary education","East Germany","13","","",""
"Grüne","2004","(0) in school","West Germany","31","0.190905707093666","0.122820599050492","0.258990815136839"
"Grüne","2004","(0) in school","East Germany","6","","",""
"Grüne","2004","(1a) inadequately completed","West Germany","2","","",""
"Grüne","2004","(1a) inadequately completed","East Germany","1","","",""
"Grüne","2004","(1b) general elementary school","West Germany","13","","",""
"Grüne","2004","(1b) general elementary school","East Germany","","","",""
"Grüne","2004","(1c) basic vocational qualification","West Germany","58","0.0312686078113398","0.0237674416944937","0.0387697739281859"
"Grüne","2004","(1c) basic vocational qualification","East Germany","4","","",""
"Grüne","2004","(2b) intermediate general qualification","West Germany","15","","",""
"Grüne","2004","(2b) intermediate general qualification","East Germany","","","",""
"Grüne","2004","(2a) intermediate vocational","West Germany","129","0.0845088135271664","0.0706392774308795","0.0983783496234533"
"Grüne","2004","(2a) intermediate vocational","East Germany","17","","",""
"Grüne","2004","(2c_gen) general maturity certificate","West Germany","70","0.235103142022306","0.188273216268814","0.281933067775797"
"Grüne","2004","(2c_gen) general maturity certificate","East Germany","16","","",""
"Grüne","2004","(2c_voc) vocational maturity certificate","West Germany","103","0.168794444349154","0.140130928202281","0.197457960496027"
"Grüne","2004","(2c_voc) vocational maturity certificate","East Germany","7","","",""
"Grüne","2004","(3a) lower tertiary education","West Germany","103","0.131216087245722","0.105078318984413","0.157353855507031"
"Grüne","2004","(3a) lower tertiary education","East Germany","19","","",""
"Grüne","2004","(3b) higher tertiary education","West Germany","285","0.259011348928583","0.234926690538089","0.283096007319076"
"Grüne","2004","(3b) higher tertiary education","East Germany","41","0.114882364948728","0.079998647886544","0.149766082010911"
"PDS/Linke","2004","(0) in school","West Germany","4","","",""
"PDS/Linke","2004","(0) in school","East Germany","3","","",""
"PDS/Linke","2004","(1a) inadequately completed","West Germany","","","",""
"PDS/Linke","2004","(1a) inadequately completed","East Germany","2","","",""
"PDS/Linke","2004","(1b) general elementary school","West Germany","2","","",""
"PDS/Linke","2004","(1b) general elementary school","East Germany","8","","",""
"PDS/Linke","2004","(1c) basic vocational qualification","West Germany","10","","",""
"PDS/Linke","2004","(1c) basic vocational qualification","East Germany","69","0.203832960626667","0.161075667327268","0.246590253926065"
"PDS/Linke","2004","(2b) intermediate general qualification","West Germany","1","","",""
"PDS/Linke","2004","(2b) intermediate general qualification","East Germany","5","","",""
"PDS/Linke","2004","(2a) intermediate vocational","West Germany","15","","",""
"PDS/Linke","2004","(2a) intermediate vocational","East Germany","82","0.197802689115007","0.161160883938702","0.234444494291313"
"PDS/Linke","2004","(2c_gen) general maturity certificate","West Germany","5","","",""
