"party","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"AfD","1989","Employed","direct migration background","","","",""
"AfD","1989","Employed","indirect migration background","","","",""
"Other","1989","Not Employed","no migration background","63","0.0422996253622936","0.0319789986052127","0.0526202521193745"
"Other","1989","Not Employed","direct migration background","4","","",""
"Other","1989","Not Employed","indirect migration background","","","",""
"Other","1989","Employed","no migration background","104","0.0439986899916729","0.0359349965049399","0.0520623834784059"
"Other","1989","Employed","direct migration background","15","","",""
"Other","1989","Employed","indirect migration background","","","",""
"CDU/CSU","1990","Not Employed","no migration background","654","0.441978913203827","0.416838445392699","0.467119381014954"
"CDU/CSU","1990","Not Employed","direct migration background","76","0.410076142537621","0.351190295589604","0.468961989485637"
"CDU/CSU","1990","Not Employed","indirect migration background","7","","",""
"CDU/CSU","1990","Employed","no migration background","980","0.38425971783478","0.365409818559378","0.403109617110182"
"CDU/CSU","1990","Employed","direct migration background","105","0.27627641443094","0.242290767840906","0.310262061020974"
"CDU/CSU","1990","Employed","indirect migration background","4","","",""
"SPD","1990","Not Employed","no migration background","690","0.456289242492121","0.431074684906147","0.481503800078095"
"SPD","1990","Not Employed","direct migration background","173","0.519201166344528","0.459383395257405","0.57901893743165"
"SPD","1990","Not Employed","indirect migration background","26","","",""
"SPD","1990","Employed","no migration background","1246","0.492359259748492","0.472985357224093","0.511733162272892"
"SPD","1990","Employed","direct migration background","486","0.591917033777425","0.554562620360265","0.629271447194585"
"SPD","1990","Employed","indirect migration background","43","0.82395746086024","0.725085790688431","0.922829131032049"
"FDP","1990","Not Employed","no migration background","71","0.0508762305073955","0.0397520977625368","0.0620003632522541"
"FDP","1990","Not Employed","direct migration background","3","","",""
"FDP","1990","Not Employed","indirect migration background","","","",""
"FDP","1990","Employed","no migration background","110","0.0412533189594816","0.0335464281667681","0.0489602097521951"
"FDP","1990","Employed","direct migration background","12","","",""
"FDP","1990","Employed","indirect migration background","1","","",""
"Grüne","1990","Not Employed","no migration background","59","0.0327479792066498","0.0237382995348724","0.0417576588784272"
"Grüne","1990","Not Employed","direct migration background","13","","",""
"Grüne","1990","Not Employed","indirect migration background","6","","",""
"Grüne","1990","Employed","no migration background","157","0.0597920017107877","0.0506037827085089","0.0689802207130666"
"Grüne","1990","Employed","direct migration background","56","0.100149531785521","0.0773331432643014","0.12296592030674"
"Grüne","1990","Employed","indirect migration background","8","","",""
"PDS/Linke","1990","Not Employed","no migration background","","","",""
"PDS/Linke","1990","Not Employed","direct migration background","","","",""
"PDS/Linke","1990","Not Employed","indirect migration background","","","",""
"PDS/Linke","1990","Employed","no migration background","","","",""
"PDS/Linke","1990","Employed","direct migration background","","","",""
