"party","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD","2002","secondary school degree","West Germany","847","0.396127418456173","0.375179066603677","0.417075770308669"
"SPD","2002","secondary school degree","East Germany","206","0.278899078870033","0.24658782613814","0.311210331601927"
"SPD","2002","college entrance qualification","West Germany","1065","0.371177320944868","0.353314512305393","0.389040129584342"
"SPD","2002","college entrance qualification","East Germany","146","0.240453215626045","0.204930737571497","0.275975693680592"
"SPD","2002","Other degree","West Germany","155","0.39014079302711","0.34173010432522","0.438551481729001"
"SPD","2002","Other degree","East Germany","","","",""
"SPD","2002","no degree/no degree yet","West Germany","76","0.426659960613604","0.355001144872451","0.498318776354757"
"SPD","2002","no degree/no degree yet","East Germany","","","",""
"FDP","2002","lower secondary degree","West Germany","72","0.0258927424781121","0.0202518625159186","0.0315336224403056"
"FDP","2002","lower secondary degree","East Germany","","","",""
"FDP","2002","secondary school degree","West Germany","101","0.0396113077762717","0.0312573387288198","0.0479652768237235"
"FDP","2002","secondary school degree","East Germany","33","0.0302245897060728","0.0178893378216859","0.0425598415904598"
"FDP","2002","college entrance qualification","West Germany","242","0.081495127793466","0.0713792986427372","0.0916109569441948"
"FDP","2002","college entrance qualification","East Germany","33","0.0749145172853222","0.0530326378517221","0.0967963967189223"
"FDP","2002","Other degree","West Germany","","","",""
"FDP","2002","Other degree","East Germany","","","",""
"FDP","2002","no degree/no degree yet","West Germany","","","",""
"FDP","2002","no degree/no degree yet","East Germany","","","",""
"Grüne","2002","lower secondary degree","West Germany","59","0.0191518301483875","0.0142837191025801","0.0240199411941949"
"Grüne","2002","lower secondary degree","East Germany","","","",""
"Grüne","2002","secondary school degree","West Germany","143","0.0686956400881469","0.0578621059131251","0.0795291742631686"
"Grüne","2002","secondary school degree","East Germany","","","",""
"Grüne","2002","college entrance qualification","West Germany","461","0.166511745653076","0.152737522645895","0.180285968660257"
"Grüne","2002","college entrance qualification","East Germany","52","0.108053273448828","0.0822485554494287","0.133857991448228"
"Grüne","2002","Other degree","West Germany","","","",""
"Grüne","2002","Other degree","East Germany","","","",""
"Grüne","2002","no degree/no degree yet","West Germany","","","",""
"Grüne","2002","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","2002","lower secondary degree","West Germany","","","",""
"PDS/Linke","2002","lower secondary degree","East Germany","139","0.24565462661377","0.210346260073613","0.280962993153926"
"PDS/Linke","2002","secondary school degree","West Germany","","","",""
"PDS/Linke","2002","secondary school degree","East Germany","169","0.253854736298953","0.222497588011516","0.285211884586391"
"PDS/Linke","2002","college entrance qualification","West Germany","36","0.014365798151376","0.00996615256074623","0.0187654437420059"
"PDS/Linke","2002","college entrance qualification","East Germany","162","0.321136738820067","0.282326452685437","0.359947024954696"
"PDS/Linke","2002","Other degree","West Germany","","","",""
"PDS/Linke","2002","Other degree","East Germany","","","",""
"PDS/Linke","2002","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","2002","no degree/no degree yet","East Germany","","","",""
"NPD Combination","2002","lower secondary degree","West Germany","","","",""
"NPD Combination","2002","lower secondary degree","East Germany","","","",""
"NPD Combination","2002","secondary school degree","West Germany","","","",""
"NPD Combination","2002","secondary school degree","East Germany","","","",""
"NPD Combination","2002","college entrance qualification","West Germany","","","",""
"NPD Combination","2002","college entrance qualification","East Germany","","","",""
"NPD Combination","2002","Other degree","West Germany","","","",""
"NPD Combination","2002","Other degree","East Germany","","","",""
"NPD Combination","2002","no degree/no degree yet","West Germany","","","",""
"NPD Combination","2002","no degree/no degree yet","East Germany","","","",""
"AfD","2002","lower secondary degree","West Germany","","","",""
"AfD","2002","lower secondary degree","East Germany","","","",""
"AfD","2002","secondary school degree","West Germany","","","",""
"AfD","2002","secondary school degree","East Germany","","","",""
"AfD","2002","college entrance qualification","West Germany","","","",""
"AfD","2002","college entrance qualification","East Germany","","","",""
"AfD","2002","Other degree","West Germany","","","",""
"AfD","2002","Other degree","East Germany","","","",""
"AfD","2002","no degree/no degree yet","West Germany","","","",""
"AfD","2002","no degree/no degree yet","East Germany","","","",""
"Other","2002","lower secondary degree","West Germany","31","0.0114799896676895","0.00769627896319672","0.0152637003721824"
"Other","2002","lower secondary degree","East Germany","","","",""
"Other","2002","secondary school degree","West Germany","","","",""
"Other","2002","secondary school degree","East Germany","","","",""
"Other","2002","college entrance qualification","West Germany","","","",""
"Other","2002","college entrance qualification","East Germany","","","",""
"Other","2002","Other degree","West Germany","","","",""
"Other","2002","Other degree","East Germany","","","",""
"Other","2002","no degree/no degree yet","West Germany","","","",""
"Other","2002","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","2003","lower secondary degree","West Germany","1418","0.453395397991169","0.435628663257063","0.471162132725276"
"CDU/CSU","2003","lower secondary degree","East Germany","205","0.345256244946386","0.306086898142521","0.384425591750252"
"CDU/CSU","2003","secondary school degree","West Germany","1071","0.489255807513666","0.468242808775605","0.510268806251726"
"CDU/CSU","2003","secondary school degree","East Germany","337","0.41667180339217","0.381644290337792","0.451699316446548"
"CDU/CSU","2003","college entrance qualification","West Germany","1109","0.378201895647583","0.360332158481998","0.396071632813168"
"CDU/CSU","2003","college entrance qualification","East Germany","190","0.281365965754433","0.245593949615787","0.317137981893079"
"CDU/CSU","2003","Other degree","West Germany","187","0.511847776620547","0.46077702751768","0.562918525723413"
"CDU/CSU","2003","Other degree","East Germany","","","",""
"CDU/CSU","2003","no degree/no degree yet","West Germany","88","0.404372544085152","0.340246416243921","0.468498671926383"
"CDU/CSU","2003","no degree/no degree yet","East Germany","","","",""
"SPD","2003","lower secondary degree","West Germany","1391","0.476793046968718","0.458967858411468","0.494618235525969"
"SPD","2003","lower secondary degree","East Germany","231","0.429333535276334","0.388555297144214","0.470111773408454"
"SPD","2003","secondary school degree","West Germany","777","0.359216715964167","0.339049210784547","0.379384221143787"
"SPD","2003","secondary school degree","East Germany","220","0.296380268719323","0.26393514674383","0.328825390694816"
"SPD","2003","college entrance qualification","West Germany","874","0.305651072093508","0.28867514647533","0.322626997711686"
"SPD","2003","college entrance qualification","East Germany","166","0.24395746329048","0.209792267395368","0.278122659185592"
"SPD","2003","Other degree","West Germany","146","0.361462892154585","0.312377856398286","0.410547927910885"
"SPD","2003","Other degree","East Germany","","","",""
"SPD","2003","no degree/no degree yet","West Germany","73","0.322109676680244","0.261052258637578","0.383167094722911"
"SPD","2003","no degree/no degree yet","East Germany","","","",""
"FDP","2003","lower secondary degree","West Germany","67","0.0231480166852618","0.0177813614394485","0.028514671931075"
"FDP","2003","lower secondary degree","East Germany","","","",""
"FDP","2003","secondary school degree","West Germany","87","0.0381048732852334","0.0300571609485364","0.0461525856219303"
"FDP","2003","secondary school degree","East Germany","31","0.0301789692647068","0.0180240028599334","0.0423339356694802"
"FDP","2003","college entrance qualification","West Germany","214","0.0700012999104319","0.0605991788138122","0.0794034210070517"
"FDP","2003","college entrance qualification","East Germany","","","",""
"FDP","2003","Other degree","West Germany","","","",""
"FDP","2003","Other degree","East Germany","","","",""
"FDP","2003","no degree/no degree yet","West Germany","","","",""
"FDP","2003","no degree/no degree yet","East Germany","","","",""
"Grüne","2003","lower secondary degree","West Germany","87","0.0285462219430626","0.0226030566075214","0.0344893872786039"
"Grüne","2003","lower secondary degree","East Germany","","","",""
"Grüne","2003","secondary school degree","West Germany","195","0.0893802928019367","0.0773878479475855","0.101372737656288"
"Grüne","2003","secondary school degree","East Germany","34","0.0533350089043591","0.0373703329823652","0.0692996848263529"
"Grüne","2003","college entrance qualification","West Germany","587","0.230040307838505","0.214531886825991","0.245548728851018"
"Grüne","2003","college entrance qualification","East Germany","86","0.153852497118347","0.125149380282897","0.182555613953798"
"Grüne","2003","Other degree","West Germany","","","",""
"Grüne","2003","Other degree","East Germany","","","",""
"Grüne","2003","no degree/no degree yet","West Germany","50","0.167373273056063","0.118595152784706","0.21615139332742"
"Grüne","2003","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","2003","lower secondary degree","West Germany","","","",""
"PDS/Linke","2003","lower secondary degree","East Germany","101","0.178995344276087","0.147413786144807","0.210576902407368"
"PDS/Linke","2003","secondary school degree","West Germany","","","",""
"PDS/Linke","2003","secondary school degree","East Germany","109","0.159968151319128","0.133923388811966","0.186012913826289"
"PDS/Linke","2003","college entrance qualification","West Germany","","","",""
"PDS/Linke","2003","college entrance qualification","East Germany","132","0.245886158181082","0.211629953696501","0.280142362665662"
"PDS/Linke","2003","Other degree","West Germany","","","",""
"PDS/Linke","2003","Other degree","East Germany","","","",""
"PDS/Linke","2003","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","2003","no degree/no degree yet","East Germany","","","",""
"NPD Combination","2003","lower secondary degree","West Germany","","","",""
"NPD Combination","2003","lower secondary degree","East Germany","","","",""
"NPD Combination","2003","secondary school degree","West Germany","","","",""
"NPD Combination","2003","secondary school degree","East Germany","","","",""
"NPD Combination","2003","college entrance qualification","West Germany","","","",""
"NPD Combination","2003","college entrance qualification","East Germany","","","",""
"NPD Combination","2003","Other degree","West Germany","","","",""
"NPD Combination","2003","Other degree","East Germany","","","",""
"NPD Combination","2003","no degree/no degree yet","West Germany","","","",""
"NPD Combination","2003","no degree/no degree yet","East Germany","","","",""
"AfD","2003","lower secondary degree","West Germany","","","",""
"AfD","2003","lower secondary degree","East Germany","","","",""
"AfD","2003","secondary school degree","West Germany","","","",""
"AfD","2003","secondary school degree","East Germany","","","",""
"AfD","2003","college entrance qualification","West Germany","","","",""
"AfD","2003","college entrance qualification","East Germany","","","",""
"AfD","2003","Other degree","West Germany","","","",""
"AfD","2003","Other degree","East Germany","","","",""
"AfD","2003","no degree/no degree yet","West Germany","","","",""
"AfD","2003","no degree/no degree yet","East Germany","","","",""
"Other","2003","lower secondary degree","West Germany","30","0.00923756924229841","0.00582331356058162","0.0126518249240152"
"Other","2003","lower secondary degree","East Germany","","","",""
"Other","2003","secondary school degree","West Germany","","","",""
"Other","2003","secondary school degree","East Germany","","","",""
"Other","2003","college entrance qualification","West Germany","","","",""
"Other","2003","college entrance qualification","East Germany","","","",""
"Other","2003","Other degree","West Germany","","","",""
"Other","2003","Other degree","East Germany","","","",""
"Other","2003","no degree/no degree yet","West Germany","","","",""
"Other","2003","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","2004","lower secondary degree","West Germany","1206","0.465070720023106","0.445432364225584","0.484709075820629"
"CDU/CSU","2004","lower secondary degree","East Germany","158","0.361792050687717","0.316268427351497","0.407315674023937"
"CDU/CSU","2004","secondary school degree","West Germany","937","0.522030815971263","0.499151031037651","0.544910600904874"
"CDU/CSU","2004","secondary school degree","East Germany","249","0.388003959789978","0.349428577496236","0.42657934208372"
"CDU/CSU","2004","college entrance qualification","West Germany","1026","0.401571934379103","0.382473855999194","0.420670012759011"
"CDU/CSU","2004","college entrance qualification","East Germany","174","0.289746371792251","0.25176474645424","0.327727997130262"
"CDU/CSU","2004","Other degree","West Germany","157","0.507615565029281","0.452230133306835","0.563000996751728"
"CDU/CSU","2004","Other degree","East Germany","","","",""
"CDU/CSU","2004","no degree/no degree yet","West Germany","72","0.405237269287769","0.333517579581054","0.476956958994484"
"CDU/CSU","2004","no degree/no degree yet","East Germany","","","",""
"SPD","2004","lower secondary degree","West Germany","1092","0.457843789603096","0.438227434156375","0.477460145049816"
"SPD","2004","lower secondary degree","East Germany","146","0.360010932911821","0.314536182000239","0.405485683823402"
"SPD","2004","secondary school degree","West Germany","612","0.330994758231765","0.309440690799167","0.352548825664362"
"SPD","2004","secondary school degree","East Germany","156","0.250030986354296","0.215751332264847","0.284310640443745"
"SPD","2004","college entrance qualification","West Germany","754","0.290592110289485","0.272903572451064","0.308280648127906"
"SPD","2004","college entrance qualification","East Germany","128","0.228929037184638","0.193752310291291","0.264105764077984"
"SPD","2004","Other degree","West Germany","112","0.335904860101631","0.283581067328183","0.388228652875079"
"SPD","2004","Other degree","East Germany","","","",""
"SPD","2004","no degree/no degree yet","West Germany","60","0.405652696726678","0.333921319304114","0.477384074149243"
"SPD","2004","no degree/no degree yet","East Germany","","","",""
"FDP","2004","lower secondary degree","West Germany","62","0.0292818291605072","0.0226437393968075","0.0359199189242068"
"FDP","2004","lower secondary degree","East Germany","","","",""
"FDP","2004","secondary school degree","West Germany","69","0.0318228909301611","0.023782981819943","0.0398628000403792"
"FDP","2004","secondary school degree","East Germany","","","",""
"FDP","2004","college entrance qualification","West Germany","181","0.0701444907714316","0.0601948698147553","0.0800941117281079"
"FDP","2004","college entrance qualification","East Germany","30","0.0736404756653088","0.0517726355541655","0.0955083157764521"
"FDP","2004","Other degree","West Germany","","","",""
"FDP","2004","Other degree","East Germany","","","",""
"FDP","2004","no degree/no degree yet","West Germany","","","",""
"FDP","2004","no degree/no degree yet","East Germany","","","",""
"Grüne","2004","lower secondary degree","West Germany","64","0.0263072271838596","0.0200056980149003","0.0326087563528189"
"Grüne","2004","lower secondary degree","East Germany","","","",""
"Grüne","2004","secondary school degree","West Germany","162","0.0862564328990236","0.0733972956360252","0.099115570162022"
"Grüne","2004","secondary school degree","East Germany","","","",""
"Grüne","2004","college entrance qualification","West Germany","526","0.218393455554014","0.202297531211949","0.234489379896079"
"Grüne","2004","college entrance qualification","East Germany","73","0.136492152362605","0.107748311662143","0.165235993063067"
"Grüne","2004","Other degree","West Germany","","","",""
"Grüne","2004","Other degree","East Germany","","","",""
"Grüne","2004","no degree/no degree yet","West Germany","33","0.120465852256829","0.0729137009141654","0.168018003599492"
"Grüne","2004","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","2004","lower secondary degree","West Germany","","","",""
"PDS/Linke","2004","lower secondary degree","East Germany","104","0.243933107929469","0.203247417386936","0.284618798472001"
"PDS/Linke","2004","secondary school degree","West Germany","","","",""
"PDS/Linke","2004","secondary school degree","East Germany","123","0.216349758603957","0.183754292393796","0.248945224814118"
"PDS/Linke","2004","college entrance qualification","West Germany","","","",""
"PDS/Linke","2004","college entrance qualification","East Germany","139","0.259208437793103","0.222519900918651","0.295896974667554"
"PDS/Linke","2004","Other degree","West Germany","","","",""
"PDS/Linke","2004","Other degree","East Germany","","","",""
"PDS/Linke","2004","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","2004","no degree/no degree yet","East Germany","","","",""
"NPD Combination","2004","lower secondary degree","West Germany","","","",""
"NPD Combination","2004","lower secondary degree","East Germany","","","",""
"NPD Combination","2004","secondary school degree","West Germany","","","",""
"NPD Combination","2004","secondary school degree","East Germany","","","",""
"NPD Combination","2004","college entrance qualification","West Germany","","","",""
"NPD Combination","2004","college entrance qualification","East Germany","","","",""
"NPD Combination","2004","Other degree","West Germany","","","",""
"NPD Combination","2004","Other degree","East Germany","","","",""
"NPD Combination","2004","no degree/no degree yet","West Germany","","","",""
"NPD Combination","2004","no degree/no degree yet","East Germany","","","",""
"AfD","2004","lower secondary degree","West Germany","","","",""
"AfD","2004","lower secondary degree","East Germany","","","",""
"AfD","2004","secondary school degree","West Germany","","","",""
"AfD","2004","secondary school degree","East Germany","","","",""
"AfD","2004","college entrance qualification","West Germany","","","",""
"AfD","2004","college entrance qualification","East Germany","","","",""
"AfD","2004","Other degree","West Germany","","","",""
"AfD","2004","Other degree","East Germany","","","",""
"AfD","2004","no degree/no degree yet","West Germany","","","",""
"AfD","2004","no degree/no degree yet","East Germany","","","",""
"Other","2004","lower secondary degree","West Germany","","","",""
"Other","2004","lower secondary degree","East Germany","","","",""
"Other","2004","secondary school degree","West Germany","","","",""
"Other","2004","secondary school degree","East Germany","","","",""
"Other","2004","college entrance qualification","West Germany","","","",""
"Other","2004","college entrance qualification","East Germany","","","",""
"Other","2004","Other degree","West Germany","","","",""
"Other","2004","Other degree","East Germany","","","",""
"Other","2004","no degree/no degree yet","West Germany","","","",""
"Other","2004","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","2005","lower secondary degree","West Germany","1144","0.443726974651851","0.42422844863876","0.463225500664941"
"CDU/CSU","2005","lower secondary degree","East Germany","146","0.313297319770823","0.271093494945413","0.355501144596234"
"CDU/CSU","2005","secondary school degree","West Germany","839","0.48532258038232","0.462045869253795","0.508599291510845"
"CDU/CSU","2005","secondary school degree","East Germany","242","0.333978507571923","0.297776915110849","0.370180100032997"
"CDU/CSU","2005","college entrance qualification","West Germany","952","0.3668267860313","0.347927575568853","0.385725996493747"
"CDU/CSU","2005","college entrance qualification","East Germany","177","0.256320248469949","0.220478012117432","0.292162484822466"
"CDU/CSU","2005","Other degree","West Germany","151","0.457240335543787","0.40274345734319","0.511737213744383"
"CDU/CSU","2005","Other degree","East Germany","","","",""
"CDU/CSU","2005","no degree/no degree yet","West Germany","68","0.320854210110734","0.254996774784555","0.386711645436912"
"CDU/CSU","2005","no degree/no degree yet","East Germany","","","",""
"SPD","2005","lower secondary degree","West Germany","1146","0.470648778436883","0.451059416330898","0.490238140542867"
"SPD","2005","lower secondary degree","East Germany","169","0.371100705467974","0.327143958535664","0.415057452400283"
"SPD","2005","secondary school degree","West Germany","632","0.347660643512204","0.325481061072773","0.369840225951634"
"SPD","2005","secondary school degree","East Germany","166","0.237012717897561","0.204371318621198","0.269654117173924"
"SPD","2005","college entrance qualification","West Germany","793","0.320092511074997","0.301798263876903","0.33838675827309"
"SPD","2005","college entrance qualification","East Germany","146","0.227326009699782","0.192920073933442","0.261731945466122"
"SPD","2005","Other degree","West Germany","134","0.387781570436893","0.334479711343151","0.441083429530635"
"SPD","2005","Other degree","East Germany","","","",""
"SPD","2005","no degree/no degree yet","West Germany","69","0.436876834599156","0.366900588375806","0.506853080822506"
"SPD","2005","no degree/no degree yet","East Germany","","","",""
"FDP","2005","lower secondary degree","West Germany","61","0.0242999525919883","0.018256839209804","0.0303430659741725"
"FDP","2005","lower secondary degree","East Germany","","","",""
"FDP","2005","secondary school degree","West Germany","72","0.0313541102939644","0.0232376144378446","0.0394706061500842"
"FDP","2005","secondary school degree","East Germany","31","0.0341748500943027","0.0202295823381827","0.0481201178504228"
"FDP","2005","college entrance qualification","West Germany","173","0.0612951737889392","0.0518886417353338","0.0707017058425445"
"FDP","2005","college entrance qualification","East Germany","","","",""
"FDP","2005","Other degree","West Germany","","","",""
"FDP","2005","Other degree","East Germany","","","",""
"FDP","2005","no degree/no degree yet","West Germany","","","",""
"FDP","2005","no degree/no degree yet","East Germany","","","",""
"Grüne","2005","lower secondary degree","West Germany","70","0.0295170332885975","0.0228745544785602","0.0361595120986348"
"Grüne","2005","lower secondary degree","East Germany","","","",""
"Grüne","2005","secondary school degree","West Germany","164","0.0986043380326706","0.0847193805832734","0.112489295482068"
"Grüne","2005","secondary school degree","East Germany","33","0.0454071558102053","0.0294264656904077","0.0613878459300029"
"Grüne","2005","college entrance qualification","West Germany","533","0.231804467128031","0.215256347065023","0.24835258719104"
"Grüne","2005","college entrance qualification","East Germany","77","0.187048595111526","0.155036051622899","0.219061138600153"
"Grüne","2005","Other degree","West Germany","","","",""
"Grüne","2005","Other degree","East Germany","","","",""
"Grüne","2005","no degree/no degree yet","West Germany","39","0.127212631982231","0.0802027910594175","0.174222472905044"
"Grüne","2005","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","2005","lower secondary degree","West Germany","","","",""
"PDS/Linke","2005","lower secondary degree","East Germany","111","0.219573434778663","0.181907823452865","0.257239046104462"
"PDS/Linke","2005","secondary school degree","West Germany","","","",""
"PDS/Linke","2005","secondary school degree","East Germany","132","0.213408683771224","0.181959823525803","0.244857544016645"
"PDS/Linke","2005","college entrance qualification","West Germany","","","",""
"PDS/Linke","2005","college entrance qualification","East Germany","139","0.256324665478199","0.220482226745157","0.292167104211241"
"PDS/Linke","2005","Other degree","West Germany","","","",""
"PDS/Linke","2005","Other degree","East Germany","","","",""
"PDS/Linke","2005","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","2005","no degree/no degree yet","East Germany","","","",""
"NPD Combination","2005","lower secondary degree","West Germany","37","0.0176050218804886","0.0124436967476382","0.022766347013339"
"NPD Combination","2005","lower secondary degree","East Germany","","","",""
"NPD Combination","2005","secondary school degree","West Germany","","","",""
"NPD Combination","2005","secondary school degree","East Germany","39","0.110848739941714","0.0867509342810934","0.134946545602335"
"NPD Combination","2005","college entrance qualification","West Germany","","","",""
"NPD Combination","2005","college entrance qualification","East Germany","","","",""
"NPD Combination","2005","Other degree","West Germany","","","",""
"NPD Combination","2005","Other degree","East Germany","","","",""
"NPD Combination","2005","no degree/no degree yet","West Germany","","","",""
"NPD Combination","2005","no degree/no degree yet","East Germany","","","",""
"AfD","2005","lower secondary degree","West Germany","","","",""
"AfD","2005","lower secondary degree","East Germany","","","",""
"AfD","2005","secondary school degree","West Germany","","","",""
"AfD","2005","secondary school degree","East Germany","","","",""
"AfD","2005","college entrance qualification","West Germany","","","",""
"AfD","2005","college entrance qualification","East Germany","","","",""
"AfD","2005","Other degree","West Germany","","","",""
"AfD","2005","Other degree","East Germany","","","",""
"AfD","2005","no degree/no degree yet","West Germany","","","",""
"AfD","2005","no degree/no degree yet","East Germany","","","",""
"Other","2005","lower secondary degree","West Germany","","","",""
"Other","2005","lower secondary degree","East Germany","","","",""
"Other","2005","secondary school degree","West Germany","","","",""
"Other","2005","secondary school degree","East Germany","","","",""
"Other","2005","college entrance qualification","West Germany","","","",""
"Other","2005","college entrance qualification","East Germany","","","",""
"Other","2005","Other degree","West Germany","","","",""
"Other","2005","Other degree","East Germany","","","",""
"Other","2005","no degree/no degree yet","West Germany","","","",""
"Other","2005","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","2006","lower secondary degree","West Germany","1303","0.439227088804783","0.420990440311898","0.457463737297668"
"CDU/CSU","2006","lower secondary degree","East Germany","187","0.352034272859005","0.31094457921678","0.393123966501231"
"CDU/CSU","2006","secondary school degree","West Germany","992","0.462239463854821","0.440951025824928","0.483527901884714"
"CDU/CSU","2006","secondary school degree","East Germany","270","0.337653997338636","0.304550912486009","0.370757082191263"
"CDU/CSU","2006","college entrance qualification","West Germany","1081","0.360246147204159","0.342627220136685","0.377865074271632"
"CDU/CSU","2006","college entrance qualification","East Germany","202","0.272105112613715","0.237786121091271","0.306424104136159"
"CDU/CSU","2006","Other degree","West Germany","170","0.415609136061254","0.365595557880273","0.465622714242235"
"CDU/CSU","2006","Other degree","East Germany","","","",""
"CDU/CSU","2006","no degree/no degree yet","West Germany","65","0.281682684560065","0.217383212119368","0.345982157000762"
"CDU/CSU","2006","no degree/no degree yet","East Germany","","","",""
"SPD","2006","lower secondary degree","West Germany","1271","0.456031153637566","0.437729462333036","0.474332844942096"
"SPD","2006","lower secondary degree","East Germany","173","0.330481047089729","0.290012358701316","0.370949735478142"
"SPD","2006","secondary school degree","West Germany","757","0.365731353306207","0.345166124697424","0.386296581914991"
"SPD","2006","secondary school degree","East Germany","212","0.250852721866199","0.220508006267219","0.281197437465179"
"SPD","2006","college entrance qualification","West Germany","915","0.321343186967851","0.304204285367522","0.338482088568181"
"SPD","2006","college entrance qualification","East Germany","183","0.282536886471205","0.247817727335163","0.317256045607246"
"SPD","2006","Other degree","West Germany","155","0.435905558293594","0.385582643447552","0.486228473139637"
"SPD","2006","Other degree","East Germany","","","",""
"SPD","2006","no degree/no degree yet","West Germany","76","0.503829376431291","0.432358940140889","0.575299812721694"
"SPD","2006","no degree/no degree yet","East Germany","","","",""
"FDP","2006","lower secondary degree","West Germany","60","0.0241254215991729","0.0184872094405169","0.0297636337578289"
"FDP","2006","lower secondary degree","East Germany","","","",""
"FDP","2006","secondary school degree","West Germany","92","0.0409595212408764","0.0324967670195828","0.04942227546217"
"FDP","2006","secondary school degree","East Germany","41","0.0414214585953365","0.0274733087307077","0.0553696084599653"
"FDP","2006","college entrance qualification","West Germany","240","0.0863574082270244","0.0760485326281906","0.0966662838258581"
"FDP","2006","college entrance qualification","East Germany","34","0.0582875863971262","0.0402208787978371","0.0763542939964153"
"FDP","2006","Other degree","West Germany","","","",""
"FDP","2006","Other degree","East Germany","","","",""
"FDP","2006","no degree/no degree yet","West Germany","","","",""
"FDP","2006","no degree/no degree yet","East Germany","","","",""
"Grüne","2006","lower secondary degree","West Germany","73","0.0260591260061364","0.020205119849364","0.0319131321629088"
"Grüne","2006","lower secondary degree","East Germany","","","",""
"Grüne","2006","secondary school degree","West Germany","178","0.0860716106957126","0.0740958841069745","0.0980473372844506"
"Grüne","2006","secondary school degree","East Germany","34","0.0385057693335179","0.0250370499865468","0.0519744886804889"
"Grüne","2006","college entrance qualification","West Germany","540","0.2008317515869","0.186128661140861","0.215534842032938"
"Grüne","2006","college entrance qualification","East Germany","75","0.130626065516038","0.104639429555659","0.156612701476417"
"Grüne","2006","Other degree","West Germany","","","",""
"Grüne","2006","Other degree","East Germany","","","",""
"Grüne","2006","no degree/no degree yet","West Germany","34","0.139121331399076","0.0896518904600344","0.188590772338117"
"Grüne","2006","no degree/no degree yet","East Germany","","","",""
"PDS/Linke","2006","lower secondary degree","West Germany","61","0.0244998553306026","0.0188191483973306","0.0301805622638746"
"PDS/Linke","2006","lower secondary degree","East Germany","129","0.265974272090118","0.227960596178207","0.303987948002028"
"PDS/Linke","2006","secondary school degree","West Germany","42","0.0196756280024267","0.0137454869343997","0.0256057690704537"
"PDS/Linke","2006","secondary school degree","East Germany","182","0.236538055260782","0.20679166525227","0.266284445269293"
"PDS/Linke","2006","college entrance qualification","West Germany","48","0.0204002052698993","0.015212026385047","0.0255883841547516"
"PDS/Linke","2006","college entrance qualification","East Germany","147","0.24959302956922","0.21621993431361","0.282966124824831"
"PDS/Linke","2006","Other degree","West Germany","","","",""
"PDS/Linke","2006","Other degree","East Germany","","","",""
"PDS/Linke","2006","no degree/no degree yet","West Germany","","","",""
"PDS/Linke","2006","no degree/no degree yet","East Germany","","","",""
"NPD Combination","2006","lower secondary degree","West Germany","46","0.0204121605105796","0.0152161127345391","0.0256082082866201"
"NPD Combination","2006","lower secondary degree","East Germany","","","",""
"NPD Combination","2006","secondary school degree","West Germany","","","",""
"NPD Combination","2006","secondary school degree","East Germany","33","0.0822191829897323","0.0629906511311841","0.101447714848281"
"NPD Combination","2006","college entrance qualification","West Germany","","","",""
"NPD Combination","2006","college entrance qualification","East Germany","","","",""
"NPD Combination","2006","Other degree","West Germany","","","",""
"NPD Combination","2006","Other degree","East Germany","","","",""
"NPD Combination","2006","no degree/no degree yet","West Germany","","","",""
"NPD Combination","2006","no degree/no degree yet","East Germany","","","",""
"AfD","2006","lower secondary degree","West Germany","","","",""
"AfD","2006","lower secondary degree","East Germany","","","",""
"AfD","2006","secondary school degree","West Germany","","","",""
"AfD","2006","secondary school degree","East Germany","","","",""
"AfD","2006","college entrance qualification","West Germany","","","",""
"AfD","2006","college entrance qualification","East Germany","","","",""
"AfD","2006","Other degree","West Germany","","","",""
"AfD","2006","Other degree","East Germany","","","",""
"AfD","2006","no degree/no degree yet","West Germany","","","",""
"AfD","2006","no degree/no degree yet","East Germany","","","",""
"Other","2006","lower secondary degree","West Germany","31","0.00964519411115959","0.00605384314725421","0.013236545075065"
"Other","2006","lower secondary degree","East Germany","","","",""
"Other","2006","secondary school degree","West Germany","","","",""
"Other","2006","secondary school degree","East Germany","","","",""
"Other","2006","college entrance qualification","West Germany","","","",""
"Other","2006","college entrance qualification","East Germany","","","",""
"Other","2006","Other degree","West Germany","","","",""
"Other","2006","Other degree","East Germany","","","",""
"Other","2006","no degree/no degree yet","West Germany","","","",""
"Other","2006","no degree/no degree yet","East Germany","","","",""
"CDU/CSU","2007","lower secondary degree","West Germany","1087","0.449684421522567","0.429537232063075","0.469831610982058"
"CDU/CSU","2007","lower secondary degree","East Germany","123","0.272169350944379","0.228661278479006","0.315677423409753"
"CDU/CSU","2007","secondary school degree","West Germany","805","0.452703831458563","0.429309179478421","0.476098483438704"
