"party","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Grüne","2002","16-34 y.","Other degree","3","","",""
"Grüne","2002","16-34 y.","no degree/no degree yet","29","","",""
"Grüne","2002","35-65 y.","lower secondary degree","42","0.0224156767335645","0.0160123353222974","0.0288190181448317"
"Grüne","2002","35-65 y.","secondary school degree","125","0.0732423405250474","0.0614810057248898","0.0850036753252051"
"Grüne","2002","35-65 y.","college entrance qualification","385","0.185430901647103","0.169108871576813","0.201752931717392"
"Grüne","2002","35-65 y.","Other degree","18","","",""
"Grüne","2002","35-65 y.","no degree/no degree yet","2","","",""
"Grüne","2002","66 and older","lower secondary degree","10","","",""
"Grüne","2002","66 and older","secondary school degree","3","","",""
"Grüne","2002","66 and older","college entrance qualification","11","","",""
"Grüne","2002","66 and older","Other degree","1","","",""
"Grüne","2002","66 and older","no degree/no degree yet","1","","",""
"PDS/Linke","2002","16-34 y.","lower secondary degree","8","","",""
"PDS/Linke","2002","16-34 y.","secondary school degree","44","0.0743138256418115","0.0536519632523302","0.0949756880312928"
"PDS/Linke","2002","16-34 y.","college entrance qualification","47","0.0450140526560706","0.0309762662679162","0.0590518390442249"
"PDS/Linke","2002","16-34 y.","Other degree","2","","",""
"PDS/Linke","2002","16-34 y.","no degree/no degree yet","19","","",""
"PDS/Linke","2002","35-65 y.","lower secondary degree","68","0.0256919365895748","0.0188480912677194","0.0325357819114303"
"PDS/Linke","2002","35-65 y.","secondary school degree","121","0.0589067348672555","0.048277763871786","0.0695357058627249"
"PDS/Linke","2002","35-65 y.","college entrance qualification","120","0.0566600009328012","0.0469506194083655","0.0663693824572368"
"PDS/Linke","2002","35-65 y.","Other degree","4","","",""
"PDS/Linke","2002","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","2002","66 and older","lower secondary degree","81","0.0514722346555386","0.0394051684554382","0.063539300855639"
"PDS/Linke","2002","66 and older","secondary school degree","21","","",""
"PDS/Linke","2002","66 and older","college entrance qualification","31","0.0839027694274234","0.0548576610042959","0.112947877850551"
"PDS/Linke","2002","66 and older","Other degree","3","","",""
"PDS/Linke","2002","66 and older","no degree/no degree yet","2","","",""
"NPD Combination","2002","16-34 y.","lower secondary degree","8","","",""
"NPD Combination","2002","16-34 y.","secondary school degree","23","","",""
"NPD Combination","2002","16-34 y.","college entrance qualification","8","","",""
"NPD Combination","2002","16-34 y.","Other degree","","","",""
"NPD Combination","2002","16-34 y.","no degree/no degree yet","1","","",""
"NPD Combination","2002","35-65 y.","lower secondary degree","12","","",""
"NPD Combination","2002","35-65 y.","secondary school degree","18","","",""
"NPD Combination","2002","35-65 y.","college entrance qualification","5","","",""
"NPD Combination","2002","35-65 y.","Other degree","","","",""
"NPD Combination","2002","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","2002","66 and older","lower secondary degree","1","","",""
"NPD Combination","2002","66 and older","secondary school degree","1","","",""
"NPD Combination","2002","66 and older","college entrance qualification","","","",""
"NPD Combination","2002","66 and older","Other degree","","","",""
"NPD Combination","2002","66 and older","no degree/no degree yet","","","",""
"AfD","2002","16-34 y.","lower secondary degree","","","",""
"AfD","2002","16-34 y.","secondary school degree","","","",""
"AfD","2002","16-34 y.","college entrance qualification","","","",""
"AfD","2002","16-34 y.","Other degree","","","",""
"AfD","2002","16-34 y.","no degree/no degree yet","","","",""
"AfD","2002","35-65 y.","lower secondary degree","","","",""
"AfD","2002","35-65 y.","secondary school degree","","","",""
"AfD","2002","35-65 y.","college entrance qualification","","","",""
"AfD","2002","35-65 y.","Other degree","","","",""
"AfD","2002","35-65 y.","no degree/no degree yet","","","",""
"AfD","2002","66 and older","lower secondary degree","","","",""
"AfD","2002","66 and older","secondary school degree","","","",""
"AfD","2002","66 and older","college entrance qualification","","","",""
"AfD","2002","66 and older","Other degree","","","",""
"AfD","2002","66 and older","no degree/no degree yet","","","",""
"Other","2002","16-34 y.","lower secondary degree","7","","",""
"Other","2002","16-34 y.","secondary school degree","13","","",""
"Other","2002","16-34 y.","college entrance qualification","3","","",""
"Other","2002","16-34 y.","Other degree","2","","",""
"Other","2002","16-34 y.","no degree/no degree yet","6","","",""
"Other","2002","35-65 y.","lower secondary degree","25","","",""
"Other","2002","35-65 y.","secondary school degree","20","","",""
"Other","2002","35-65 y.","college entrance qualification","13","","",""
"Other","2002","35-65 y.","Other degree","3","","",""
"Other","2002","35-65 y.","no degree/no degree yet","","","",""
"Other","2002","66 and older","lower secondary degree","5","","",""
"Other","2002","66 and older","secondary school degree","4","","",""
"Other","2002","66 and older","college entrance qualification","2","","",""
"Other","2002","66 and older","Other degree","","","",""
"Other","2002","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","2003","16-34 y.","lower secondary degree","117","0.450160300361958","0.389097088557937","0.51122351216598"
"CDU/CSU","2003","16-34 y.","secondary school degree","294","0.438121221025321","0.399831104026711","0.476411338023931"
"CDU/CSU","2003","16-34 y.","college entrance qualification","316","0.317962873453543","0.287639591317558","0.348286155589529"
"CDU/CSU","2003","16-34 y.","Other degree","15","","",""
"CDU/CSU","2003","16-34 y.","no degree/no degree yet","77","0.40084419652208","0.3348755086768","0.46681288436736"
"CDU/CSU","2003","35-65 y.","lower secondary degree","899","0.428946834265229","0.407283220320079","0.45061044821038"
"CDU/CSU","2003","35-65 y.","secondary school degree","908","0.44960876716123","0.42752953710623","0.47168799721623"
"CDU/CSU","2003","35-65 y.","college entrance qualification","777","0.340096111982884","0.320122257356178","0.36006996660959"
"CDU/CSU","2003","35-65 y.","Other degree","135","0.493585283554574","0.434278956576138","0.552891610533009"
"CDU/CSU","2003","35-65 y.","no degree/no degree yet","10","","",""
"CDU/CSU","2003","66 and older","lower secondary degree","607","0.453567169096531","0.426730935630146","0.480403402562917"
"CDU/CSU","2003","66 and older","secondary school degree","206","0.606152611906581","0.554217196728748","0.658088027084415"
"CDU/CSU","2003","66 and older","college entrance qualification","206","0.55686534685089","0.506180532386766","0.607550161315014"
"CDU/CSU","2003","66 and older","Other degree","40","0.596856987215329","0.482757517401358","0.710956457029299"
"CDU/CSU","2003","66 and older","no degree/no degree yet","13","","",""
"SPD","2003","16-34 y.","lower secondary degree","97","0.3947528578369","0.334758968739954","0.454746746933847"
"SPD","2003","16-34 y.","secondary school degree","196","0.304853613258225","0.269327144489938","0.340380082026513"
"SPD","2003","16-34 y.","college entrance qualification","294","0.303682407473151","0.273739256989699","0.333625557956602"
"SPD","2003","16-34 y.","Other degree","14","","",""
"SPD","2003","16-34 y.","no degree/no degree yet","55","0.26508980035329","0.205675114249043","0.324504486457536"
"SPD","2003","35-65 y.","lower secondary degree","919","0.476721895921934","0.45485990379078","0.498583888053088"
"SPD","2003","35-65 y.","secondary school degree","705","0.378711641541543","0.357182251735009","0.400241031348078"
"SPD","2003","35-65 y.","college entrance qualification","663","0.30853075482373","0.289056700700396","0.328004808947063"
"SPD","2003","35-65 y.","Other degree","112","0.380077532742167","0.322497546763623","0.437657518720711"
"SPD","2003","35-65 y.","no degree/no degree yet","19","","",""
"SPD","2003","66 and older","lower secondary degree","606","0.47458493309962","0.44766706889432","0.501502797304921"
"SPD","2003","66 and older","secondary school degree","96","0.286327908516415","0.238278302626041","0.334377514406788"
"SPD","2003","66 and older","college entrance qualification","83","0.241288007231904","0.197632277640139","0.28494373682367"
"SPD","2003","66 and older","Other degree","24","","",""
"SPD","2003","66 and older","no degree/no degree yet","5","","",""
"FDP","2003","16-34 y.","lower secondary degree","9","","",""
"FDP","2003","16-34 y.","secondary school degree","30","0.0440745222433748","0.0282338335639565","0.0599152109227931"
"FDP","2003","16-34 y.","college entrance qualification","69","0.0842012937487182","0.0661194218877534","0.102283165609683"
"FDP","2003","16-34 y.","Other degree","","","",""
"FDP","2003","16-34 y.","no degree/no degree yet","10","","",""
"FDP","2003","35-65 y.","lower secondary degree","48","0.0289759188419246","0.021633747571605","0.0363180901122442"
"FDP","2003","35-65 y.","secondary school degree","72","0.0299884502903149","0.0224184438377327","0.0375584567428972"
"FDP","2003","35-65 y.","college entrance qualification","145","0.0617560270635188","0.0516071434134442","0.0719049107135935"
"FDP","2003","35-65 y.","Other degree","4","","",""
"FDP","2003","35-65 y.","no degree/no degree yet","","","",""
"FDP","2003","66 and older","lower secondary degree","18","","",""
"FDP","2003","66 and older","secondary school degree","16","","",""
"FDP","2003","66 and older","college entrance qualification","29","","",""
"FDP","2003","66 and older","Other degree","1","","",""
"FDP","2003","66 and older","no degree/no degree yet","1","","",""
"Grüne","2003","16-34 y.","lower secondary degree","11","","",""
"Grüne","2003","16-34 y.","secondary school degree","68","0.117711301780516","0.092840907345091","0.14258169621594"
"Grüne","2003","16-34 y.","college entrance qualification","187","0.263360581463153","0.234680072384753","0.292041090541554"
"Grüne","2003","16-34 y.","Other degree","3","","",""
"Grüne","2003","16-34 y.","no degree/no degree yet","50","0.147658808897381","0.0999040584926127","0.195413559302148"
"Grüne","2003","35-65 y.","lower secondary degree","67","0.0366998364330526","0.0284697616042896","0.0449299112618157"
"Grüne","2003","35-65 y.","secondary school degree","155","0.0885720143622691","0.0759612844020742","0.101182744322464"
"Grüne","2003","35-65 y.","college entrance qualification","467","0.239979892970872","0.221973750741903","0.257986035199841"
"Grüne","2003","35-65 y.","Other degree","19","","",""
"Grüne","2003","35-65 y.","no degree/no degree yet","2","","",""
"Grüne","2003","66 and older","lower secondary degree","18","","",""
"Grüne","2003","66 and older","secondary school degree","6","","",""
"Grüne","2003","66 and older","college entrance qualification","19","","",""
"Grüne","2003","66 and older","Other degree","2","","",""
"Grüne","2003","66 and older","no degree/no degree yet","1","","",""
"PDS/Linke","2003","16-34 y.","lower secondary degree","5","","",""
"PDS/Linke","2003","16-34 y.","secondary school degree","29","","",""
"PDS/Linke","2003","16-34 y.","college entrance qualification","32","0.022524450460731","0.0128625169254246","0.0321863839960374"
"PDS/Linke","2003","16-34 y.","Other degree","2","","",""
"PDS/Linke","2003","16-34 y.","no degree/no degree yet","9","","",""
"PDS/Linke","2003","35-65 y.","lower secondary degree","37","0.0119071037225837","0.00715929887601361","0.0166549085691538"
"PDS/Linke","2003","35-65 y.","secondary school degree","81","0.0370104313013284","0.028631210208099","0.0453896523945579"
"PDS/Linke","2003","35-65 y.","college entrance qualification","94","0.0420801792238166","0.0336152354497578","0.0505451229978754"
"PDS/Linke","2003","35-65 y.","Other degree","1","","",""
"PDS/Linke","2003","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","2003","66 and older","lower secondary degree","66","0.0387113420586091","0.028312657924517","0.0491100261927012"
"PDS/Linke","2003","66 and older","secondary school degree","14","","",""
"PDS/Linke","2003","66 and older","college entrance qualification","31","0.0763740881635043","0.0492749186750994","0.103473257651909"
"PDS/Linke","2003","66 and older","Other degree","3","","",""
"PDS/Linke","2003","66 and older","no degree/no degree yet","2","","",""
"NPD Combination","2003","16-34 y.","lower secondary degree","5","","",""
"NPD Combination","2003","16-34 y.","secondary school degree","16","","",""
"NPD Combination","2003","16-34 y.","college entrance qualification","3","","",""
"NPD Combination","2003","16-34 y.","Other degree","","","",""
"NPD Combination","2003","16-34 y.","no degree/no degree yet","4","","",""
"NPD Combination","2003","35-65 y.","lower secondary degree","12","","",""
"NPD Combination","2003","35-65 y.","secondary school degree","18","","",""
"NPD Combination","2003","35-65 y.","college entrance qualification","6","","",""
"NPD Combination","2003","35-65 y.","Other degree","","","",""
"NPD Combination","2003","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","2003","66 and older","lower secondary degree","3","","",""
"NPD Combination","2003","66 and older","secondary school degree","","","",""
"NPD Combination","2003","66 and older","college entrance qualification","","","",""
"NPD Combination","2003","66 and older","Other degree","","","",""
"NPD Combination","2003","66 and older","no degree/no degree yet","","","",""
"AfD","2003","16-34 y.","lower secondary degree","","","",""
"AfD","2003","16-34 y.","secondary school degree","","","",""
"AfD","2003","16-34 y.","college entrance qualification","","","",""
"AfD","2003","16-34 y.","Other degree","","","",""
"AfD","2003","16-34 y.","no degree/no degree yet","","","",""
"AfD","2003","35-65 y.","lower secondary degree","","","",""
"AfD","2003","35-65 y.","secondary school degree","","","",""
"AfD","2003","35-65 y.","college entrance qualification","","","",""
"AfD","2003","35-65 y.","Other degree","","","",""
"AfD","2003","35-65 y.","no degree/no degree yet","","","",""
"AfD","2003","66 and older","lower secondary degree","","","",""
"AfD","2003","66 and older","secondary school degree","","","",""
"AfD","2003","66 and older","college entrance qualification","","","",""
"AfD","2003","66 and older","Other degree","","","",""
"AfD","2003","66 and older","no degree/no degree yet","","","",""
"Other","2003","16-34 y.","lower secondary degree","11","","",""
"Other","2003","16-34 y.","secondary school degree","12","","",""
"Other","2003","16-34 y.","college entrance qualification","5","","",""
"Other","2003","16-34 y.","Other degree","3","","",""
"Other","2003","16-34 y.","no degree/no degree yet","7","","",""
"Other","2003","35-65 y.","lower secondary degree","23","","",""
"Other","2003","35-65 y.","secondary school degree","11","","",""
"Other","2003","35-65 y.","college entrance qualification","9","","",""
"Other","2003","35-65 y.","Other degree","2","","",""
"Other","2003","35-65 y.","no degree/no degree yet","","","",""
"Other","2003","66 and older","lower secondary degree","4","","",""
"Other","2003","66 and older","secondary school degree","2","","",""
"Other","2003","66 and older","college entrance qualification","1","","",""
"Other","2003","66 and older","Other degree","1","","",""
"Other","2003","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","2004","16-34 y.","lower secondary degree","89","0.499313005404257","0.427457307260971","0.571168703547543"
"CDU/CSU","2004","16-34 y.","secondary school degree","224","0.478869104097969","0.43394461922311","0.523793588972827"
"CDU/CSU","2004","16-34 y.","college entrance qualification","263","0.312673609337005","0.279908468103775","0.345438750570236"
"CDU/CSU","2004","16-34 y.","Other degree","14","","",""
"CDU/CSU","2004","16-34 y.","no degree/no degree yet","58","0.40481003742786","0.32968588200673","0.47993419284899"
"CDU/CSU","2004","35-65 y.","lower secondary degree","730","0.430612391185231","0.406243051212641","0.454981731157821"
"CDU/CSU","2004","35-65 y.","secondary school degree","760","0.459296668716326","0.435111602494314","0.483481734938339"
"CDU/CSU","2004","35-65 y.","college entrance qualification","718","0.366621745050359","0.345112000093982","0.388131490006736"
"CDU/CSU","2004","35-65 y.","Other degree","116","0.473794236636373","0.409543696120348","0.538044777152398"
"CDU/CSU","2004","35-65 y.","no degree/no degree yet","11","","",""
"CDU/CSU","2004","66 and older","lower secondary degree","545","0.474442576863897","0.445379373616989","0.503505780110805"
"CDU/CSU","2004","66 and older","secondary school degree","202","0.618959585942352","0.567186219157442","0.670732952727262"
"CDU/CSU","2004","66 and older","college entrance qualification","219","0.575227766908553","0.525658283800453","0.624797250016654"
"CDU/CSU","2004","66 and older","Other degree","34","0.632326731217765","0.513262965207631","0.7513904972279"
"CDU/CSU","2004","66 and older","no degree/no degree yet","11","","",""
"SPD","2004","16-34 y.","lower secondary degree","63","0.317016186954703","0.250145229207024","0.383887144702381"
"SPD","2004","16-34 y.","secondary school degree","149","0.328839748370009","0.286591709513404","0.371087787226614"
"SPD","2004","16-34 y.","college entrance qualification","239","0.303004086830375","0.270523469116974","0.335484704543777"
"SPD","2004","16-34 y.","Other degree","10","","",""
"SPD","2004","16-34 y.","no degree/no degree yet","49","0.296866815995955","0.226942892073552","0.366790739918358"
"SPD","2004","35-65 y.","lower secondary degree","697","0.473210734524865","0.448638635788211","0.49778283326152"
"SPD","2004","35-65 y.","secondary school degree","538","0.332619784010918","0.309754225535722","0.355485342486114"
"SPD","2004","35-65 y.","college entrance qualification","564","0.283806623657657","0.263682314067021","0.303930933248293"
"SPD","2004","35-65 y.","Other degree","84","0.38469573484928","0.322090918342411","0.447300551356148"
"SPD","2004","35-65 y.","no degree/no degree yet","19","","",""
"SPD","2004","66 and older","lower secondary degree","478","0.434416453822533","0.405566635667109","0.463266271977956"
"SPD","2004","66 and older","secondary school degree","81","0.240801468402998","0.195219089585822","0.286383847220175"
"SPD","2004","66 and older","college entrance qualification","79","0.240237351410725","0.197394768621126","0.283079934200324"
"SPD","2004","66 and older","Other degree","20","","",""
"SPD","2004","66 and older","no degree/no degree yet","3","","",""
"FDP","2004","16-34 y.","lower secondary degree","5","","",""
"FDP","2004","16-34 y.","secondary school degree","20","","",""
"FDP","2004","16-34 y.","college entrance qualification","65","0.102975307679083","0.0814943485277657","0.124456266830401"
"FDP","2004","16-34 y.","Other degree","2","","",""
"FDP","2004","16-34 y.","no degree/no degree yet","6","","",""
"FDP","2004","35-65 y.","lower secondary degree","38","0.0244477145419425","0.0168472365137591","0.0320481925701259"
"FDP","2004","35-65 y.","secondary school degree","57","0.021232760643074","0.0142365310242774","0.0282289902618705"
"FDP","2004","35-65 y.","college entrance qualification","122","0.0626675909069817","0.0518491944502644","0.0734859873636989"
"FDP","2004","35-65 y.","Other degree","8","","",""
"FDP","2004","35-65 y.","no degree/no degree yet","1","","",""
"FDP","2004","66 and older","lower secondary degree","25","","",""
"FDP","2004","66 and older","secondary school degree","20","","",""
"FDP","2004","66 and older","college entrance qualification","24","","",""
"FDP","2004","66 and older","Other degree","","","",""
"FDP","2004","66 and older","no degree/no degree yet","1","","",""
"Grüne","2004","16-34 y.","lower secondary degree","13","","",""
"Grüne","2004","16-34 y.","secondary school degree","34","0.0677239128726549","0.045127235772044","0.0903205899732659"
"Grüne","2004","16-34 y.","college entrance qualification","160","0.2431717707016","0.212851005241208","0.273492536161992"
"Grüne","2004","16-34 y.","Other degree","3","","",""
"Grüne","2004","16-34 y.","no degree/no degree yet","38","0.180827498359308","0.121923322141897","0.239731674576719"
"Grüne","2004","35-65 y.","lower secondary degree","40","0.0296978137060062","0.021343471823745","0.0380521555882675"
"Grüne","2004","35-65 y.","secondary school degree","144","0.098780250005753","0.0843001513334721","0.113260348678034"
"Grüne","2004","35-65 y.","college entrance qualification","415","0.23439060828203","0.215481619446365","0.253299597117696"
"Grüne","2004","35-65 y.","Other degree","16","","",""
"Grüne","2004","35-65 y.","no degree/no degree yet","","","",""
"Grüne","2004","66 and older","lower secondary degree","15","","",""
"Grüne","2004","66 and older","secondary school degree","10","","",""
"Grüne","2004","66 and older","college entrance qualification","24","","",""
"Grüne","2004","66 and older","Other degree","5","","",""
"Grüne","2004","66 and older","no degree/no degree yet","2","","",""
"PDS/Linke","2004","16-34 y.","lower secondary degree","3","","",""
"PDS/Linke","2004","16-34 y.","secondary school degree","30","0.0558164795426656","0.0351716778826335","0.0764612812026977"
"PDS/Linke","2004","16-34 y.","college entrance qualification","31","0.0213587563238542","0.0111403149183214","0.031577197729387"
"PDS/Linke","2004","16-34 y.","Other degree","1","","",""
"PDS/Linke","2004","16-34 y.","no degree/no degree yet","7","","",""
"PDS/Linke","2004","35-65 y.","lower secondary degree","47","0.0203636449106826","0.0134124942093146","0.0273147956120505"
"PDS/Linke","2004","35-65 y.","secondary school degree","88","0.0530725046329019","0.0421928711269722","0.0639521381388316"
"PDS/Linke","2004","35-65 y.","college entrance qualification","97","0.0476558435014817","0.0381465201035316","0.0571651668994318"
"PDS/Linke","2004","35-65 y.","Other degree","3","","",""
"PDS/Linke","2004","35-65 y.","no degree/no degree yet","","","",""
"PDS/Linke","2004","66 and older","lower secondary degree","64","0.0419655156134383","0.0302953124570827","0.0536357187697939"
"PDS/Linke","2004","66 and older","secondary school degree","22","","",""
"PDS/Linke","2004","66 and older","college entrance qualification","34","0.0787679363675683","0.0517547592598384","0.105781113475298"
"PDS/Linke","2004","66 and older","Other degree","3","","",""
"PDS/Linke","2004","66 and older","no degree/no degree yet","2","","",""
"NPD Combination","2004","16-34 y.","lower secondary degree","10","","",""
"NPD Combination","2004","16-34 y.","secondary school degree","13","","",""
"NPD Combination","2004","16-34 y.","college entrance qualification","3","","",""
"NPD Combination","2004","16-34 y.","Other degree","","","",""
"NPD Combination","2004","16-34 y.","no degree/no degree yet","","","",""
"NPD Combination","2004","35-65 y.","lower secondary degree","15","","",""
"NPD Combination","2004","35-65 y.","secondary school degree","21","","",""
"NPD Combination","2004","35-65 y.","college entrance qualification","2","","",""
"NPD Combination","2004","35-65 y.","Other degree","","","",""
"NPD Combination","2004","35-65 y.","no degree/no degree yet","","","",""
"NPD Combination","2004","66 and older","lower secondary degree","2","","",""
"NPD Combination","2004","66 and older","secondary school degree","","","",""
"NPD Combination","2004","66 and older","college entrance qualification","1","","",""
"NPD Combination","2004","66 and older","Other degree","","","",""
"NPD Combination","2004","66 and older","no degree/no degree yet","","","",""
"AfD","2004","16-34 y.","lower secondary degree","","","",""
"AfD","2004","16-34 y.","secondary school degree","","","",""
"AfD","2004","16-34 y.","college entrance qualification","","","",""
"AfD","2004","16-34 y.","Other degree","","","",""
"AfD","2004","16-34 y.","no degree/no degree yet","","","",""
"AfD","2004","35-65 y.","lower secondary degree","","","",""
"AfD","2004","35-65 y.","secondary school degree","","","",""
"AfD","2004","35-65 y.","college entrance qualification","","","",""
"AfD","2004","35-65 y.","Other degree","","","",""
"AfD","2004","35-65 y.","no degree/no degree yet","","","",""
"AfD","2004","66 and older","lower secondary degree","","","",""
"AfD","2004","66 and older","secondary school degree","","","",""
"AfD","2004","66 and older","college entrance qualification","","","",""
"AfD","2004","66 and older","Other degree","","","",""
"AfD","2004","66 and older","no degree/no degree yet","","","",""
"Other","2004","16-34 y.","lower secondary degree","3","","",""
"Other","2004","16-34 y.","secondary school degree","5","","",""
"Other","2004","16-34 y.","college entrance qualification","8","","",""
"Other","2004","16-34 y.","Other degree","1","","",""
"Other","2004","16-34 y.","no degree/no degree yet","6","","",""
"Other","2004","35-65 y.","lower secondary degree","19","","",""
"Other","2004","35-65 y.","secondary school degree","23","","",""
"Other","2004","35-65 y.","college entrance qualification","10","","",""
"Other","2004","35-65 y.","Other degree","5","","",""
"Other","2004","35-65 y.","no degree/no degree yet","1","","",""
"Other","2004","66 and older","lower secondary degree","5","","",""
"Other","2004","66 and older","secondary school degree","3","","",""
"Other","2004","66 and older","college entrance qualification","1","","",""
"Other","2004","66 and older","Other degree","1","","",""
"Other","2004","66 and older","no degree/no degree yet","","","",""
"CDU/CSU","2005","16-34 y.","lower secondary degree","70","0.394637094029332","0.322833704653581","0.466440483405084"
"CDU/CSU","2005","16-34 y.","secondary school degree","170","0.411330698512832","0.364214273002138","0.458447124023525"
"CDU/CSU","2005","16-34 y.","college entrance qualification","230","0.260681464171566","0.229531561413982","0.291831366929151"
"CDU/CSU","2005","16-34 y.","Other degree","11","","",""
"CDU/CSU","2005","16-34 y.","no degree/no degree yet","57","0.312971882947874","0.243673390871025","0.382270375024724"
"CDU/CSU","2005","35-65 y.","lower secondary degree","628","0.394351816664458","0.369553864848248","0.419149768480667"
"CDU/CSU","2005","35-65 y.","secondary school degree","704","0.420323401708353","0.396484515498729","0.444162287917977"
"CDU/CSU","2005","35-65 y.","college entrance qualification","680","0.335911671741368","0.314629644449059","0.357193699033678"
"CDU/CSU","2005","35-65 y.","Other degree","106","0.412508466011661","0.34956779056202","0.475449141461303"
"CDU/CSU","2005","35-65 y.","no degree/no degree yet","7","","",""
"CDU/CSU","2005","66 and older","lower secondary degree","592","0.466131632448852","0.438888217706081","0.493375047191622"
"CDU/CSU","2005","66 and older","secondary school degree","207","0.596361208906232","0.545467380104519","0.647255037707945"
"CDU/CSU","2005","66 and older","college entrance qualification","219","0.564976472082818","0.517163623426023","0.612789320739614"
"CDU/CSU","2005","66 and older","Other degree","40","0.628583024007588","0.516975353993961","0.740190694021216"
"CDU/CSU","2005","66 and older","no degree/no degree yet","12","","",""
"SPD","2005","16-34 y.","lower secondary degree","59","0.287825281109674","0.221313920067387","0.354336642151961"
"SPD","2005","16-34 y.","secondary school degree","135","0.344518070474622","0.299016389162034","0.39001975178721"
"SPD","2005","16-34 y.","college entrance qualification","257","0.315348817961766","0.282379033580684","0.348318602342849"
"SPD","2005","16-34 y.","Other degree","7","","",""
"SPD","2005","16-34 y.","no degree/no degree yet","53","0.34150564017704","0.270636226838462","0.412375053515618"
"SPD","2005","35-65 y.","lower secondary degree","692","0.487210170083004","0.461847699651891","0.512572640514117"
"SPD","2005","35-65 y.","secondary school degree","565","0.330782443487148","0.308059939940487","0.35350494703381"
"SPD","2005","35-65 y.","college entrance qualification","579","0.315154436040497","0.294220757021193","0.336088115059801"
"SPD","2005","35-65 y.","Other degree","100","0.423685807101658","0.360507821371138","0.486863792832178"
"SPD","2005","35-65 y.","no degree/no degree yet","19","","",""
"SPD","2005","66 and older","lower secondary degree","564","0.453923322104938","0.426733383784704","0.481113260425172"
"SPD","2005","66 and older","secondary school degree","98","0.277700751578478","0.231242689280498","0.324158813876457"
"SPD","2005","66 and older","college entrance qualification","103","0.261618944664504","0.219230455970791","0.304007433358217"
"SPD","2005","66 and older","Other degree","28","","",""
"SPD","2005","66 and older","no degree/no degree yet","5","","",""
"FDP","2005","16-34 y.","lower secondary degree","7","","",""
"FDP","2005","16-34 y.","secondary school degree","18","","",""
"FDP","2005","16-34 y.","college entrance qualification","62","0.0901943320252138","0.0698684329717255","0.110520231078702"
"FDP","2005","16-34 y.","Other degree","2","","",""
"FDP","2005","16-34 y.","no degree/no degree yet","10","","",""
"FDP","2005","35-65 y.","lower secondary degree","42","0.0288330096422408","0.020342072530506","0.0373239467539755"
"FDP","2005","35-65 y.","secondary school degree","66","0.0255776871073485","0.0179532894952627","0.0332020847194342"
"FDP","2005","35-65 y.","college entrance qualification","107","0.0525570527827755","0.042502111001264","0.0626119945642869"
"FDP","2005","35-65 y.","Other degree","8","","",""
"FDP","2005","35-65 y.","no degree/no degree yet","","","",""
"FDP","2005","66 and older","lower secondary degree","23","","",""
"FDP","2005","66 and older","secondary school degree","19","","",""
"FDP","2005","66 and older","college entrance qualification","31","0.0420853778543502","0.0227210653883938","0.0614496903203066"
"FDP","2005","66 and older","Other degree","","","",""
"FDP","2005","66 and older","no degree/no degree yet","1","","",""
"Grüne","2005","16-34 y.","lower secondary degree","14","","",""
"Grüne","2005","16-34 y.","secondary school degree","35","0.072067673933566","0.0473065995853909","0.096828748281741"
"Grüne","2005","16-34 y.","college entrance qualification","173","0.29917495449871","0.266684690080548","0.331665218916872"
"Grüne","2005","16-34 y.","Other degree","3","","",""
"Grüne","2005","16-34 y.","no degree/no degree yet","37","0.156164531536825","0.101914005096871","0.210415057976779"
"Grüne","2005","35-65 y.","lower secondary degree","46","0.0377573128918739","0.0280855302358864","0.0474290955478615"
"Grüne","2005","35-65 y.","secondary school degree","154","0.11073883682106","0.0955834881281275","0.125894185513992"
"Grüne","2005","35-65 y.","college entrance qualification","417","0.239084084824045","0.219865066867897","0.258303102780192"
"Grüne","2005","35-65 y.","Other degree","16","","",""
"Grüne","2005","35-65 y.","no degree/no degree yet","3","","",""
"Grüne","2005","66 and older","lower secondary degree","18","","",""
"Grüne","2005","66 and older","secondary school degree","8","","",""
"Grüne","2005","66 and older","college entrance qualification","20","","",""
"Grüne","2005","66 and older","Other degree","3","","",""
"Grüne","2005","66 and older","no degree/no degree yet","1","","",""
"PDS/Linke","2005","16-34 y.","lower secondary degree","4","","",""
"PDS/Linke","2005","16-34 y.","secondary school degree","30","0.0667442165405527","0.0428469490779161","0.0906414840031892"
"PDS/Linke","2005","16-34 y.","college entrance qualification","29","","",""
"PDS/Linke","2005","16-34 y.","Other degree","","","",""
"PDS/Linke","2005","16-34 y.","no degree/no degree yet","8","","",""
"PDS/Linke","2005","35-65 y.","lower secondary degree","38","0.0146067974076252","0.00851919943980195","0.0206943953754485"
"PDS/Linke","2005","35-65 y.","secondary school degree","100","0.0557395284109589","0.0446598069822281","0.0668192498396897"
"PDS/Linke","2005","35-65 y.","college entrance qualification","98","0.0530420523883481","0.0429434091064508","0.0631406956702454"
"PDS/Linke","2005","35-65 y.","Other degree","3","","",""
"PDS/Linke","2005","35-65 y.","no degree/no degree yet","1","","",""
