"party","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"FDP","1987","middle vocational","Female","74","0.0668473267237775","0.0534246031982289","0.080270050249326"
"FDP","1987","vocational + Abi","Male","","","",""
"FDP","1987","vocational + Abi","Female","","","",""
"FDP","1987","higher vocational","Male","","","",""
"FDP","1987","higher vocational","Female","","","",""
"FDP","1987","higher education","Male","52","0.154635991321811","0.117025320217016","0.192246662426606"
"FDP","1987","higher education","Female","","","",""
"Grüne","1987","in school","Male","","","",""
"Grüne","1987","in school","Female","","","",""
"Grüne","1987","inadequately","Male","","","",""
"Grüne","1987","inadequately","Female","","","",""
"Grüne","1987","general elemantary","Male","34","0.0584969837991778","0.0366925064964139","0.0803014611019416"
"Grüne","1987","general elemantary","Female","43","0.0299832198593991","0.0190460889298257","0.0409203507889726"
"Grüne","1987","middle vocational","Male","100","0.0480701360302053","0.0380161459721122","0.0581241260882984"
"Grüne","1987","middle vocational","Female","102","0.0669167458316794","0.0534875540904398","0.0803459375729189"
"Grüne","1987","vocational + Abi","Male","","","",""
"Grüne","1987","vocational + Abi","Female","","","",""
"Grüne","1987","higher vocational","Male","","","",""
"Grüne","1987","higher vocational","Female","","","",""
"Grüne","1987","higher education","Male","43","0.116621047413146","0.0832326244042846","0.150009470422008"
"Grüne","1987","higher education","Female","47","0.223110504990809","0.161427048648101","0.284793961333517"
"PDS/Linke","1987","in school","Male","","","",""
"PDS/Linke","1987","in school","Female","","","",""
"PDS/Linke","1987","inadequately","Male","","","",""
"PDS/Linke","1987","inadequately","Female","","","",""
"PDS/Linke","1987","general elemantary","Male","","","",""
"PDS/Linke","1987","general elemantary","Female","","","",""
"PDS/Linke","1987","middle vocational","Male","","","",""
"PDS/Linke","1987","middle vocational","Female","","","",""
"PDS/Linke","1987","vocational + Abi","Male","","","",""
"PDS/Linke","1987","vocational + Abi","Female","","","",""
"PDS/Linke","1987","higher vocational","Male","","","",""
"PDS/Linke","1987","higher vocational","Female","","","",""
"PDS/Linke","1987","higher education","Male","","","",""
"PDS/Linke","1987","higher education","Female","","","",""
"NPD Combination","1987","in school","Male","","","",""
"NPD Combination","1987","in school","Female","","","",""
"NPD Combination","1987","inadequately","Male","","","",""
"NPD Combination","1987","inadequately","Female","","","",""
"NPD Combination","1987","general elemantary","Male","","","",""
"NPD Combination","1987","general elemantary","Female","","","",""
"NPD Combination","1987","middle vocational","Male","","","",""
"NPD Combination","1987","middle vocational","Female","","","",""
"NPD Combination","1987","vocational + Abi","Male","","","",""
"NPD Combination","1987","vocational + Abi","Female","","","",""
"NPD Combination","1987","higher vocational","Male","","","",""
"NPD Combination","1987","higher vocational","Female","","","",""
"NPD Combination","1987","higher education","Male","","","",""
"NPD Combination","1987","higher education","Female","","","",""
"AfD","1987","in school","Male","","","",""
"AfD","1987","in school","Female","","","",""
"AfD","1987","inadequately","Male","","","",""
"AfD","1987","inadequately","Female","","","",""
"AfD","1987","general elemantary","Male","","","",""
"AfD","1987","general elemantary","Female","","","",""
"AfD","1987","middle vocational","Male","","","",""
"AfD","1987","middle vocational","Female","","","",""
"AfD","1987","vocational + Abi","Male","","","",""
"AfD","1987","vocational + Abi","Female","","","",""
"AfD","1987","higher vocational","Male","","","",""
"AfD","1987","higher vocational","Female","","","",""
"AfD","1987","higher education","Male","","","",""
"AfD","1987","higher education","Female","","","",""
"Other","1987","in school","Male","","","",""
"Other","1987","in school","Female","","","",""
"Other","1987","inadequately","Male","","","",""
"Other","1987","inadequately","Female","","","",""
"Other","1987","general elemantary","Male","","","",""
"Other","1987","general elemantary","Female","","","",""
"Other","1987","middle vocational","Male","","","",""
"Other","1987","middle vocational","Female","","","",""
"Other","1987","vocational + Abi","Male","","","",""
"Other","1987","vocational + Abi","Female","","","",""
"Other","1987","higher vocational","Male","","","",""
"Other","1987","higher vocational","Female","","","",""
"Other","1987","higher education","Male","","","",""
"Other","1987","higher education","Female","","","",""
"CDU/CSU","1988","in school","Male","","","",""
"CDU/CSU","1988","in school","Female","","","",""
"CDU/CSU","1988","inadequately","Male","","","",""
"CDU/CSU","1988","inadequately","Female","","","",""
"CDU/CSU","1988","general elemantary","Male","115","0.351151483952415","0.305171709946138","0.397131257958692"
"CDU/CSU","1988","general elemantary","Female","361","0.450697484357801","0.416765721094173","0.484629247621429"
"CDU/CSU","1988","middle vocational","Male","583","0.386954211857303","0.362839069035574","0.411069354679031"
"CDU/CSU","1988","middle vocational","Female","476","0.440577066685592","0.412093541365035","0.469060592006149"
"CDU/CSU","1988","vocational + Abi","Male","32","0.3954199894368","0.299589370518695","0.491250608354906"
"CDU/CSU","1988","vocational + Abi","Female","","","",""
"CDU/CSU","1988","higher vocational","Male","121","0.588582328362885","0.522497256035988","0.654667400689782"
"CDU/CSU","1988","higher vocational","Female","57","0.468937393765488","0.38444337131352","0.553431416217456"
"CDU/CSU","1988","higher education","Male","134","0.428408159794195","0.374773430628559","0.482042888959831"
"CDU/CSU","1988","higher education","Female","57","0.393817369520806","0.317872453475229","0.469762285566382"
"SPD","1988","in school","Male","","","",""
"SPD","1988","in school","Female","","","",""
"SPD","1988","inadequately","Male","57","0.735806671550898","0.637327244720266","0.834286098381531"
"SPD","1988","inadequately","Female","49","0.601389158014306","0.484152605132894","0.718625710895718"
"SPD","1988","general elemantary","Male","265","0.57445233596578","0.526825796622075","0.622078875309485"
"SPD","1988","general elemantary","Female","429","0.51549520823287","0.481413651632837","0.549576764832903"
"SPD","1988","middle vocational","Male","840","0.519226736973898","0.494488868823487","0.54396460512431"
"SPD","1988","middle vocational","Female","554","0.438956946341983","0.410484700767165","0.467429191916801"
"SPD","1988","vocational + Abi","Male","51","0.430132569414091","0.333095834832173","0.527169303996008"
"SPD","1988","vocational + Abi","Female","","","",""
"SPD","1988","higher vocational","Male","66","0.28780305591368","0.227002711035877","0.348603400791482"
"SPD","1988","higher vocational","Female","56","0.390387315244186","0.307789123773008","0.472985506715363"
"SPD","1988","higher education","Male","122","0.346234662770855","0.294667833057212","0.397801492484498"
