"party","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"PDS/Linke","2010","Rural Area","Male","218","0.120176554077021","0.104813933842929","0.135539174311114","5"
"PDS/Linke","2010","Rural Area","Female","233","0.146672492741722","0.129735227329548","0.163609758153897","5"
"SPD","2010","Urban Area","Male","1158","0.345501056063788","0.330195208175207","0.360806903952368","2"
"SPD","2010","Rural Area","Male","455","0.254252007462135","0.233679563043684","0.274824451880586","2"
"SPD","2010","Rural Area","Female","439","0.268249017383429","0.247037984809616","0.289460049957241","2"
"SPD","2010","Urban Area","Female","1190","0.331532705801239","0.316799489420137","0.346265922182341","2"
"AfD","2011","Urban Area","Female","","","","","7"
"AfD","2011","Urban Area","Male","","","","","7"
"AfD","2011","Rural Area","Male","","","","","7"
"AfD","2011","Rural Area","Female","","","","","7"
"CDU/CSU","2011","Rural Area","Female","545","0.458315361435283","0.430944443913196","0.485686278957369","1"
"CDU/CSU","2011","Urban Area","Male","1253","0.355448510445324","0.338926315886008","0.37197070500464","1"
"CDU/CSU","2011","Rural Area","Male","643","0.447805052547987","0.422547489188154","0.473062615907819","1"
"CDU/CSU","2011","Urban Area","Female","1117","0.351475264295955","0.334776131330443","0.368174397261467","1"
"FDP","2011","Rural Area","Female","24","","","","3"
"FDP","2011","Urban Area","Female","100","0.0254288010922506","0.019922588241275","0.0309350139432261","3"
"FDP","2011","Rural Area","Male","53","0.0270672493254847","0.0188246495061743","0.035309849144795","3"
"FDP","2011","Urban Area","Male","149","0.0368169905764164","0.030316754583135","0.0433172265696978","3"
"NPD Combination","2011","Urban Area","Female","18","","","","6"
"NPD Combination","2011","Rural Area","Male","42","0.0380371475210425","0.0283212290170018","0.0477530660250832","6"
"NPD Combination","2011","Rural Area","Female","10","","","","6"
"NPD Combination","2011","Urban Area","Male","41","0.014396456935959","0.0102846803070101","0.0185082335649079","6"
"Other","2011","Rural Area","Male","21","","","","8"
"Other","2011","Urban Area","Female","26","","","","8"
"Other","2011","Urban Area","Male","44","0.0187715385361829","0.0140867976224126","0.0234562794499532","8"
"Other","2011","Rural Area","Female","17","","","","8"
"PDS/Linke","2011","Urban Area","Female","126","0.0394453638390801","0.0326370073685552","0.0462537203096051","5"
"PDS/Linke","2011","Rural Area","Male","163","0.0938640280109999","0.0790508916228099","0.10867716439919","5"
"PDS/Linke","2011","Urban Area","Male","168","0.051737777252745","0.0440920520921492","0.0593835024133408","5"
"PDS/Linke","2011","Rural Area","Female","141","0.109307385819342","0.0921669220410036","0.12644784959768","5"
"SPD","2011","Urban Area","Female","1023","0.353489916102375","0.336769024432087","0.370210807772662","2"
"SPD","2011","Urban Area","Male","1057","0.346434683730001","0.330009669459276","0.362859698000727","2"
"SPD","2011","Rural Area","Female","339","0.265185628480986","0.240936412476785","0.289434844485187","2"
"SPD","2011","Rural Area","Male","415","0.279377216168273","0.256586906335147","0.302167526001398","2"
"AfD","2012","Urban Area","Male","","","","","7"
"AfD","2012","Urban Area","Female","","","","","7"
"AfD","2012","Rural Area","Male","","","","","7"
"AfD","2012","Rural Area","Female","","","","","7"
"CDU/CSU","2012","Rural Area","Female","554","0.454736623721718","0.427521473403942","0.481951774039495","1"
"CDU/CSU","2012","Urban Area","Female","1106","0.371827639874463","0.354545067927617","0.389110211821309","1"
"CDU/CSU","2012","Rural Area","Male","639","0.445655615753573","0.420341656328601","0.470969575178546","1"
"CDU/CSU","2012","Urban Area","Male","1211","0.356896149160344","0.340115141205149","0.373677157115539","1"
"FDP","2012","Rural Area","Female","20","","","","3"
"FDP","2012","Rural Area","Male","37","0.0277218287451693","0.0193604717261753","0.0360831857641633","3"
"FDP","2012","Urban Area","Female","63","0.0190477597863208","0.0141596155618539","0.0239359040107878","3"
"FDP","2012","Urban Area","Male","124","0.0327256604759524","0.0264936869359862","0.0389576340159185","3"
"NPD Combination","2012","Urban Area","Male","38","0.016977698533512","0.0124526040529192","0.0215027930141048","6"
"NPD Combination","2012","Urban Area","Female","18","","","","6"
"NPD Combination","2012","Rural Area","Male","27","","","","6"
"NPD Combination","2012","Rural Area","Female","6","","","","6"
"Other","2012","Urban Area","Male","116","0.0382304178021801","0.031513862451152","0.0449469731532082","8"
"Other","2012","Rural Area","Male","55","0.0393208861098438","0.0294223405967368","0.0492194316229508","8"
"Other","2012","Urban Area","Female","61","0.0234621948089734","0.0180493325519837","0.028875057065963","8"
"Other","2012","Rural Area","Female","28","","","","8"
"PDS/Linke","2012","Urban Area","Male","161","0.0519304809308099","0.044158390922024","0.0597025709395959","5"
"PDS/Linke","2012","Rural Area","Male","150","0.0822260216397701","0.0682352048073193","0.0962168384722209","5"
"PDS/Linke","2012","Urban Area","Female","113","0.0364866404729953","0.0297817152941509","0.0431915656518397","5"
"PDS/Linke","2012","Rural Area","Female","117","0.0867386430357037","0.0713559823860169","0.10212130368539","5"
"SPD","2012","Rural Area","Female","374","0.288940183416417","0.264166838630647","0.313713528202187","2"
"SPD","2012","Urban Area","Female","1001","0.345685342155302","0.328678176810059","0.362692507500546","2"
"SPD","2012","Urban Area","Male","1044","0.339385498303739","0.322800048686441","0.355970947921037","2"
"SPD","2012","Rural Area","Male","449","0.306943937562895","0.283453869497309","0.330434005628481","2"
"AfD","2013","Urban Area","Male","","","","","7"
"AfD","2013","Urban Area","Female","","","","","7"
"AfD","2013","Rural Area","Male","","","","","7"
"AfD","2013","Rural Area","Female","","","","","7"
"CDU/CSU","2013","Rural Area","Female","627","0.478267064292616","0.451420937656333","0.505113190928899","1"
"CDU/CSU","2013","Urban Area","Female","1268","0.385863326379474","0.369388690296714","0.402337962462235","1"
"CDU/CSU","2013","Rural Area","Male","695","0.465881347171239","0.440877842769401","0.490884851573076","1"
"CDU/CSU","2013","Urban Area","Male","1372","0.387240913714326","0.371084443974071","0.403397383454582","1"
"FDP","2013","Rural Area","Female","18","","","","3"
"FDP","2013","Rural Area","Male","40","0.0204827655214847","0.013382988882738","0.0275825421602314","3"
"FDP","2013","Urban Area","Female","84","0.0229773799570212","0.0179066658624353","0.0280480940516071","3"
"FDP","2013","Urban Area","Male","142","0.0372529482001895","0.0309716791471579","0.0435342172532212","3"
"NPD Combination","2013","Urban Area","Female","11","","","","6"
"NPD Combination","2013","Urban Area","Male","31","0.0101223471307122","0.00680231454097919","0.0134423797204451","6"
"NPD Combination","2013","Rural Area","Male","16","","","","6"
"NPD Combination","2013","Rural Area","Female","5","","","","6"
"Other","2013","Rural Area","Male","43","0.0364931623337766","0.0270942521750257","0.0458920724925275","8"
"Other","2013","Urban Area","Male","84","0.026052912748462","0.0207695941870958","0.0313362313098282","8"
"Other","2013","Urban Area","Female","45","0.0126523969242422","0.0088698179520004","0.016434975896484","8"
"Other","2013","Rural Area","Female","15","","","","8"
"PDS/Linke","2013","Urban Area","Male","172","0.0468074415919327","0.0398016252656095","0.0538132579182559","5"
"PDS/Linke","2013","Urban Area","Female","128","0.0326264189107937","0.0266140118348496","0.0386388259867377","5"
"PDS/Linke","2013","Rural Area","Male","137","0.0759982278108471","0.0627156465058091","0.089280809115885","5"
"PDS/Linke","2013","Rural Area","Female","118","0.0803528773987299","0.0657434365173675","0.0949623182800923","5"
"SPD","2013","Rural Area","Female","356","0.268289615029032","0.244477728127147","0.292101501930916","2"
"SPD","2013","Urban Area","Male","1212","0.343423620685946","0.327674051370016","0.359173190001875","2"
"SPD","2013","Rural Area","Male","457","0.288940280505457","0.266220641217906","0.311659919793008","2"
"SPD","2013","Urban Area","Female","1106","0.347984319184596","0.331863933830984","0.364104704538209","2"
"AfD","2014","Urban Area","Male","97","0.0216098799322649","0.0171144493669754","0.0261053104975543","7"
"AfD","2014","Rural Area","Female","22","","","","7"
"AfD","2014","Urban Area","Female","51","0.0115901428470599","0.00833961780355574","0.014840667890564","7"
"AfD","2014","Rural Area","Male","49","0.031223523022108","0.0234602060104727","0.0389868400337433","7"
"CDU/CSU","2014","Rural Area","Female","813","0.463798967739685","0.440938310767774","0.486659624711596","1"
"CDU/CSU","2014","Urban Area","Female","1540","0.389098676781693","0.374292054487446","0.403905299075941","1"
"CDU/CSU","2014","Rural Area","Male","883","0.453126881078948","0.430906690581071","0.475347071576825","1"
"CDU/CSU","2014","Urban Area","Male","1568","0.380734599358939","0.365722595460639","0.395746603257239","1"
"FDP","2014","Rural Area","Female","27","","","","3"
"FDP","2014","Rural Area","Male","46","0.0204389095440112","0.0141229520285219","0.0267548670595005","3"
"FDP","2014","Urban Area","Female","87","0.0205017118975727","0.0161980564730551","0.0248053673220903","3"
"FDP","2014","Urban Area","Male","152","0.0354600168144375","0.0297423522379935","0.0411776813908815","3"
"NPD Combination","2014","Rural Area","Male","30","0.0219788030792293","0.0154343896229621","0.0285232165354965","6"
"NPD Combination","2014","Urban Area","Male","40","0.0121534014954675","0.0087658744988163","0.0155409284921187","6"
"NPD Combination","2014","Rural Area","Female","8","","","","6"
"NPD Combination","2014","Urban Area","Female","24","","","","6"
"Other","2014","Rural Area","Male","38","0.0201546474803431","0.0138818545990783","0.0264274403616078","8"
"Other","2014","Urban Area","Male","85","0.0201748640905389","0.0158280738329705","0.0245216543481074","8"
"Other","2014","Urban Area","Female","51","0.0100843051722102","0.00704997606568614","0.0131186342787343","8"
"Other","2014","Rural Area","Female","39","0.0217422784171635","0.0150566972779725","0.0284278595563545","8"
"PDS/Linke","2014","Urban Area","Male","280","0.0631249345588719","0.0556064485023708","0.0706434206153729","5"
"PDS/Linke","2014","Rural Area","Male","199","0.0965260757904944","0.0833442759491613","0.109707875631827","5"
"PDS/Linke","2014","Urban Area","Female","253","0.0539582361156749","0.0470966484744268","0.0608198237569229","5"
"PDS/Linke","2014","Rural Area","Female","204","0.0997034876643602","0.0859691426040793","0.113437832724641","5"
"SPD","2014","Urban Area","Male","1268","0.335760007692533","0.321159563085768","0.350360452299299","2"
"SPD","2014","Rural Area","Female","479","0.270508291484027","0.250144414444006","0.290872168524048","2"
"SPD","2014","Rural Area","Male","543","0.289054936289222","0.268819955659633","0.30928991691881","2"
"SPD","2014","Urban Area","Female","1302","0.326683089626435","0.312439689448298","0.340926489804573","2"
"AfD","2015","Urban Area","Male","111","0.0324908027670302","0.0266510709966526","0.0383305345374078","7"
"AfD","2015","Urban Area","Female","57","0.0188821953202053","0.0143953592418009","0.0233690313986097","7"
"AfD","2015","Rural Area","Female","39","0.0255067843795555","0.0176807401353848","0.0333328286237262","7"
"AfD","2015","Rural Area","Male","70","0.0471388275248904","0.0370164798326284","0.0572611752171524","7"
"CDU/CSU","2015","Rural Area","Female","693","0.470416925476819","0.445640790900948","0.495193060052689","1"
"CDU/CSU","2015","Urban Area","Female","1287","0.387682043013451","0.371620778942389","0.403743307084513","1"
"CDU/CSU","2015","Urban Area","Male","1404","0.396184280323794","0.380074635883193","0.412293924764395","1"
"CDU/CSU","2015","Rural Area","Male","762","0.46519466317472","0.441371892202397","0.489017434147043","1"
"FDP","2015","Rural Area","Female","19","","","","3"
"FDP","2015","Rural Area","Male","40","0.0155844581637995","0.00966867656725464","0.0215002397603444","3"
"FDP","2015","Urban Area","Female","78","0.0179898260598554","0.0136083054618254","0.0223713466578855","3"
"FDP","2015","Urban Area","Male","141","0.0375259769397194","0.0312663905190559","0.0437855633603829","3"
"NPD Combination","2015","Urban Area","Male","37","0.0105630860165981","0.00719584199659411","0.013930330036602","6"
"NPD Combination","2015","Urban Area","Female","21","","","","6"
"NPD Combination","2015","Rural Area","Male","31","0.0215199545500969","0.0145893086737736","0.0284506004264201","6"
"NPD Combination","2015","Rural Area","Female","12","","","","6"
"Other","2015","Rural Area","Male","31","0.0214014914735139","0.0144895294643183","0.0283134534827094","8"
"Other","2015","Urban Area","Male","73","0.0192221923237148","0.0146997618183885","0.0237446228290411","8"
"Other","2015","Urban Area","Female","37","0.00969566752362862","0.00646548860252455","0.0129258464447327","8"
"Other","2015","Rural Area","Female","21","","","","8"
"PDS/Linke","2015","Urban Area","Male","246","0.0621449088181577","0.0541932859253833","0.0700965317109322","5"
"PDS/Linke","2015","Rural Area","Male","179","0.0895837444060237","0.075943829695444","0.103223659116603","5"
"PDS/Linke","2015","Urban Area","Female","227","0.0527498750425039","0.045381080711802","0.0601186693732059","5"
"PDS/Linke","2015","Rural Area","Female","189","0.108766295763555","0.0933113315596791","0.12422125996743","5"
"SPD","2015","Urban Area","Male","1080","0.308225857621396","0.293016816827111","0.323434898415681","2"
"SPD","2015","Rural Area","Male","443","0.27085966811139","0.249634322076997","0.292085014145783","2"
"SPD","2015","Urban Area","Female","1091","0.322799406860425","0.30738671801448","0.33821209570637","2"
"SPD","2015","Rural Area","Female","375","0.235152447626603","0.214100745038873","0.256204150214333","2"
"AfD","2016","Rural Area","Male","140","0.0801478162522727","0.0666739987524874","0.093621633752058","7"
"AfD","2016","Rural Area","Female","84","0.0556975788041658","0.0437693041950884","0.0676258534132433","7"
"AfD","2016","Urban Area","Male","198","0.0630387864494442","0.0546755881034295","0.071401984795459","7"
"AfD","2016","Urban Area","Female","104","0.0314880395471079","0.0254656043564164","0.0375104747377994","7"
"CDU/CSU","2016","Rural Area","Male","674","0.452543295368841","0.427843648238338","0.477242942499344","1"
"CDU/CSU","2016","Rural Area","Female","618","0.447268224179699","0.421407233511791","0.473129214847608","1"
"CDU/CSU","2016","Urban Area","Female","1177","0.38423072933148","0.367456140512809","0.401005318150151","1"
"CDU/CSU","2016","Urban Area","Male","1204","0.35866065179258","0.342156489789032","0.375164813796127","1"
"FDP","2016","Rural Area","Male","39","0.0192426065285263","0.0124255242303393","0.0260596888267132","3"
"FDP","2016","Urban Area","Female","77","0.0245486313672061","0.0192120481847324","0.0298852145496799","3"
"FDP","2016","Rural Area","Female","19","","","","3"
"FDP","2016","Urban Area","Male","152","0.0448219034106605","0.0377016574936423","0.0519421493276787","3"
"NPD Combination","2016","Rural Area","Male","22","","","","6"
"NPD Combination","2016","Rural Area","Female","9","","","","6"
"NPD Combination","2016","Urban Area","Male","26","","","","6"
"NPD Combination","2016","Urban Area","Female","14","","","","6"
"Other","2016","Rural Area","Male","26","","","","8"
"Other","2016","Rural Area","Female","19","","","","8"
"Other","2016","Urban Area","Male","73","0.024711792053725","0.0193695166209319","0.0300540674865182","8"
"Other","2016","Urban Area","Female","35","0.00985866397970495","0.00645141038876152","0.0132659175706484","8"
"PDS/Linke","2016","Urban Area","Male","224","0.0662964964672185","0.0577348468301265","0.0748581461043105","5"
"PDS/Linke","2016","Rural Area","Female","154","0.102604240115081","0.0868216390298509","0.118386841200311","5"
"PDS/Linke","2016","Rural Area","Male","136","0.0702841544600961","0.057599179316893","0.0829691296032991","5"
"PDS/Linke","2016","Urban Area","Female","202","0.0492526619435772","0.0417899918534808","0.0567153320336735","5"
"SPD","2016","Rural Area","Female","311","0.22494966492451","0.203232079007324","0.246667250841696","2"
"SPD","2016","Urban Area","Female","897","0.293137473457082","0.277439269063732","0.308835677850432","2"
"SPD","2016","Rural Area","Male","374","0.254578730321779","0.232961614958149","0.276195845685408","2"
"SPD","2016","Urban Area","Male","903","0.279883525809562","0.264434620559589","0.295332431059535","2"
"AfD","2017","Urban Area","Male","219","0.0744684477135217","0.0661420907305238","0.0827948046965197","7"
"AfD","2017","Rural Area","Male","137","0.0802617168603035","0.0677275393032011","0.0927958944174058","7"
"AfD","2017","Rural Area","Female","74","0.0434479553201761","0.0335814094163308","0.0533145012240213","7"
"AfD","2017","Urban Area","Female","89","0.0241920911651309","0.0192245864115854","0.0291595959186764","7"
"CDU/CSU","2017","Rural Area","Female","688","0.43281882685491","0.40883932582053","0.456798327889291","1"
"CDU/CSU","2017","Rural Area","Male","774","0.431695783880284","0.408845645711299","0.454545922049268","1"
"CDU/CSU","2017","Urban Area","Female","1379","0.361883817781544","0.346347293071887","0.377420342491201","1"
"CDU/CSU","2017","Urban Area","Male","1458","0.343824390460438","0.328759997205736","0.35888878371514","1"
"FDP","2017","Rural Area","Male","64","0.0275207691271445","0.0199736720051212","0.0350678662491678","3"
"FDP","2017","Urban Area","Female","129","0.0389826451758561","0.0327248594677788","0.0452404308839334","3"
"FDP","2017","Rural Area","Female","32","0.0150100864441532","0.00912526005132019","0.0208949128369862","3"
"FDP","2017","Urban Area","Male","217","0.0567183395942002","0.0493824005923237","0.0640542785960768","3"
"NPD Combination","2017","Urban Area","Male","27","","","","6"
"NPD Combination","2017","Urban Area","Female","19","","","","6"
"NPD Combination","2017","Rural Area","Male","32","0.0152983331589914","0.00963615041745392","0.0209605159005288","6"
"NPD Combination","2017","Rural Area","Female","10","","","","6"
"Other","2017","Urban Area","Male","60","0.0160998299707945","0.0121081159048161","0.0200915440367729","8"
"Other","2017","Rural Area","Male","12","","","","8"
"Other","2017","Rural Area","Female","14","","","","8"
"Other","2017","Urban Area","Female","33","0.00781369246457401","0.00496697614546895","0.0106604087836791","8"
"PDS/Linke","2017","Urban Area","Male","266","0.0754789280095848","0.0671008474760519","0.0838570085431176","5"
"PDS/Linke","2017","Rural Area","Female","156","0.0793352432315868","0.0662551751324255","0.092415311330748","5"
"PDS/Linke","2017","Urban Area","Female","248","0.0652992946371366","0.0573118115874111","0.0732867776868621","5"
"PDS/Linke","2017","Rural Area","Male","159","0.0744136405517059","0.0623064260499038","0.0865208550535079","5"
"SPD","2017","Rural Area","Female","464","0.287160974178228","0.265263974600475","0.30905797375598","2"
"SPD","2017","Rural Area","Male","475","0.27768072375648","0.257019932178943","0.298341515334017","2"
"SPD","2017","Urban Area","Female","1138","0.34185720022878","0.326521562093309","0.357192838364251","2"
"SPD","2017","Urban Area","Male","1134","0.320929331693148","0.306123409809446","0.335735253576849","2"
"AfD","2018","Urban Area","Male","270","0.0810597286391768","0.0725376370956333","0.0895818201827204","7"
"AfD","2018","Rural Area","Male","201","0.118432800300298","0.103636638664692","0.133228961935905","7"
"AfD","2018","Rural Area","Female","111","0.063928285459288","0.0520563315983285","0.0758002393202475","7"
"AfD","2018","Urban Area","Female","143","0.036434395741043","0.0304486300357248","0.0424201614463612","7"
"CDU/CSU","2018","Rural Area","Female","650","0.408712350303629","0.384854605154978","0.43257009545228","1"
"CDU/CSU","2018","Rural Area","Male","730","0.391828177761629","0.369474636409735","0.414181719113522","1"
"CDU/CSU","2018","Urban Area","Female","1324","0.366122073304883","0.350732057899982","0.381512088709785","1"
"CDU/CSU","2018","Urban Area","Male","1439","0.33486545357448","0.32012910432691","0.349601802822051","1"
"FDP","2018","Rural Area","Male","85","0.0442932384765232","0.0348718176471812","0.0537146593058652","3"
"FDP","2018","Rural Area","Female","50","0.0303488223970882","0.0220235242176168","0.0386741205765597","3"
"FDP","2018","Urban Area","Female","161","0.0434797061928621","0.0369647173199982","0.0499946950657259","3"
"FDP","2018","Urban Area","Male","253","0.0629952902897598","0.0554090794652844","0.0705815011142351","3"
"NPD Combination","2018","Rural Area","Female","3","","","","6"
"NPD Combination","2018","Urban Area","Male","7","","","","6"
"NPD Combination","2018","Urban Area","Female","9","","","","6"
"NPD Combination","2018","Rural Area","Male","11","","","","6"
"Other","2018","Urban Area","Male","59","0.0167216418368427","0.0127177929420501","0.0207254907316352","8"
"Other","2018","Urban Area","Female","44","0.00839707710819107","0.00548195834114823","0.0113121958752339","8"
"Other","2018","Rural Area","Male","35","0.0313973514563428","0.0234118040965288","0.0393828988161569","8"
"Other","2018","Rural Area","Female","28","","","","8"
"PDS/Linke","2018","Urban Area","Male","327","0.0846093980996298","0.0759195435454213","0.0932992526538384","5"
"PDS/Linke","2018","Urban Area","Female","312","0.0779783740461531","0.0694123177340361","0.08654443035827","5"
"PDS/Linke","2018","Rural Area","Female","186","0.0974538847717675","0.0830607500957039","0.111847019447831","5"
"PDS/Linke","2018","Rural Area","Male","172","0.0686680980732818","0.0570879235266847","0.0802482726198789","5"
"SPD","2018","Rural Area","Female","367","0.243827135550305","0.222988337156685","0.264665933943925","2"
"SPD","2018","Urban Area","Male","1013","0.28035727926237","0.266331907978089","0.294382650546652","2"
"SPD","2018","Rural Area","Male","420","0.254158289448867","0.234221242597969","0.274095336299765","2"
"SPD","2018","Urban Area","Female","950","0.269089689050188","0.254921842112152","0.283257535988224","2"
"AfD","2019","Urban Area","Male","248","0.0896173028702298","0.0802054071058656","0.099029198634594","7"
"AfD","2019","Rural Area","Male","230","0.131390607599032","0.116144054596041","0.146637160602022","7"
"AfD","2019","Rural Area","Female","107","0.0660837702422543","0.0540566962758206","0.0781108442086879","7"
"AfD","2019","Urban Area","Female","130","0.0399578449439274","0.033405139717568","0.0465105501702867","7"
"CDU/CSU","2019","Rural Area","Female","631","0.384543315957902","0.360991196576743","0.40809543533906","1"
"CDU/CSU","2019","Rural Area","Male","742","0.368948111393499","0.347171393353019","0.39072482943398","1"
"CDU/CSU","2019","Urban Area","Female","1077","0.323546717019174","0.307895004783532","0.339198429254816","1"
"CDU/CSU","2019","Urban Area","Male","1233","0.323870599532104","0.308451115206217","0.339290083857991","1"
"FDP","2019","Rural Area","Male","111","0.0541167580512409","0.0439059080067258","0.064327608095756","3"
"FDP","2019","Rural Area","Female","51","0.0361399739660992","0.0271043215409822","0.0451756263912162","3"
"FDP","2019","Urban Area","Female","177","0.0427138324671747","0.0359486484656156","0.0494790164687338","3"
"FDP","2019","Urban Area","Male","296","0.0640644074996564","0.0559957632927615","0.0721330517065513","3"
"NPD Combination","2019","Urban Area","Male","8","","","","6"
"NPD Combination","2019","Urban Area","Female","4","","","","6"
"NPD Combination","2019","Rural Area","Male","13","","","","6"
"NPD Combination","2019","Rural Area","Female","5","","","","6"
"Other","2019","Urban Area","Male","77","0.0231847093587077","0.0182259135055124","0.028143505211903","8"
"Other","2019","Urban Area","Female","69","0.0177425824592926","0.0133259066136855","0.0221592583048997","8"
"Other","2019","Rural Area","Male","48","0.0216288036117876","0.0150636434621637","0.0281939637614114","8"
"Other","2019","Rural Area","Female","37","0.0190320930308512","0.012417101539923","0.0256470845217793","8"
"PDS/Linke","2019","Urban Area","Male","223","0.0720806347635987","0.063558790422719","0.0806024791044784","5"
"PDS/Linke","2019","Urban Area","Female","210","0.0628993439096179","0.0547768268882187","0.071021860931017","5"
"PDS/Linke","2019","Rural Area","Male","162","0.0771801333405161","0.0651356416356805","0.0892246250453517","5"
"PDS/Linke","2019","Rural Area","Female","170","0.0861160486510945","0.0725345971585852","0.0996975001436039","5"
"SPD","2019","Urban Area","Male","726","0.223094801745891","0.209376576927857","0.236813026563926","2"
"SPD","2019","Rural Area","Female","269","0.178100662411543","0.159578115779871","0.196623209043215","2"
"SPD","2019","Urban Area","Female","652","0.223832383197963","0.209887538870323","0.237777227525603","2"
"SPD","2019","Rural Area","Male","326","0.213405630909526","0.194914835191173","0.231896426627878","2"
