"party","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"FDP","1986","Saxony-Anhalt","Rural Area","","","",""
"FDP","1986","Thuringia","Urban Area","","","",""
"FDP","1986","Thuringia","Rural Area","","","",""
"Grüne","1986","Schleswig-Holstein","Urban Area","11","","",""
"Grüne","1986","Schleswig-Holstein","Rural Area","5","","",""
"Grüne","1986","Hamburg","Urban Area","9","","",""
"Grüne","1986","Hamburg","Rural Area","","","",""
"Grüne","1986","Lower Saxony","Urban Area","26","","",""
"Grüne","1986","Lower Saxony","Rural Area","17","","",""
"Grüne","1986","Bremen","Urban Area","4","","",""
"Grüne","1986","Bremen","Rural Area","","","",""
"Grüne","1986","North Rhine-Westphalia","Urban Area","102","0.0532045750777484","0.0421307628175401","0.0642783873379567"
"Grüne","1986","North Rhine-Westphalia","Rural Area","1","","",""
"Grüne","1986","Hesse","Urban Area","59","0.14529555419762","0.109910509577901","0.18068059881734"
"Grüne","1986","Hesse","Rural Area","7","","",""
"Grüne","1986","Rhineland-Palatinate,Saarland","Urban Area","17","","",""
"Grüne","1986","Rhineland-Palatinate,Saarland","Rural Area","2","","",""
"Grüne","1986","Baden-Württemberg","Urban Area","44","0.0591158385237709","0.0425543499925617","0.07567732705498"
"Grüne","1986","Baden-Württemberg","Rural Area","5","","",""
"Grüne","1986","Bavaria","Urban Area","32","0.0565836338566736","0.0359573166521172","0.07720995106123"
"Grüne","1986","Bavaria","Rural Area","21","","",""
"Grüne","1986","Berlin","Urban Area","23","","",""
"Grüne","1986","Berlin","Rural Area","","","",""
"Grüne","1986","Brandenburg","Urban Area","","","",""
"Grüne","1986","Brandenburg","Rural Area","","","",""
"Grüne","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Grüne","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Grüne","1986","Saxony","Urban Area","","","",""
"Grüne","1986","Saxony","Rural Area","","","",""
"Grüne","1986","Saxony-Anhalt","Urban Area","","","",""
"Grüne","1986","Saxony-Anhalt","Rural Area","","","",""
"Grüne","1986","Thuringia","Urban Area","","","",""
"Grüne","1986","Thuringia","Rural Area","","","",""
"PDS/Linke","1986","Schleswig-Holstein","Urban Area","","","",""
"PDS/Linke","1986","Schleswig-Holstein","Rural Area","","","",""
"PDS/Linke","1986","Hamburg","Urban Area","","","",""
"PDS/Linke","1986","Hamburg","Rural Area","","","",""
"PDS/Linke","1986","Lower Saxony","Urban Area","","","",""
"PDS/Linke","1986","Lower Saxony","Rural Area","","","",""
"PDS/Linke","1986","Bremen","Urban Area","","","",""
"PDS/Linke","1986","Bremen","Rural Area","","","",""
"PDS/Linke","1986","North Rhine-Westphalia","Urban Area","","","",""
"PDS/Linke","1986","North Rhine-Westphalia","Rural Area","","","",""
"PDS/Linke","1986","Hesse","Urban Area","","","",""
"PDS/Linke","1986","Hesse","Rural Area","","","",""
"PDS/Linke","1986","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"PDS/Linke","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"PDS/Linke","1986","Baden-Württemberg","Urban Area","","","",""
"PDS/Linke","1986","Baden-Württemberg","Rural Area","","","",""
